2026/04/14 13:48:19 [ARB] USDT→LYX→ETH | 0.5054% | volume=52.13 USDT | profit=0.263461 USDT | anchor=1776163699392 | l1=LYX-USDT BUY out=222.40753152 age=5ms | l2=LYX-ETH SELL out=0.02208962 age=234ms | l3=ETH-USDT SELL out=52.39301913 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.6760% | volume=84.56 USDT | profit=0.571662 USDT | anchor=1776166831850 | l1=LYX-USDT BUY out=368.96449208 age=0ms | l2=LYX-ETH SELL out=0.03590838 age=3ms | l3=ETH-USDT SELL out=85.13218130 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0561% | volume=112.94 USDT | profit=0.063342 USDT | anchor=1776166831854 | l1=LYX-USDT BUY out=492.80444080 age=4ms | l2=LYX-ETH SELL out=0.04766530 age=0ms | l3=ETH-USDT SELL out=113.00593349 age=4ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0561% | volume=112.94 USDT | profit=0.063342 USDT | anchor=1776166831855 | l1=LYX-USDT BUY out=492.80444080 age=0ms | l2=LYX-ETH SELL out=0.04766530 age=1ms | l3=ETH-USDT SELL out=113.00593349 age=5ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0561% | volume=112.94 USDT | profit=0.063342 USDT | anchor=1776166831855 | l1=LYX-USDT BUY out=492.80444080 age=0ms | l2=LYX-ETH SELL out=0.04766530 age=1ms | l3=ETH-USDT SELL out=113.00593349 age=5ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.91 USDT | profit=0.063242 USDT | anchor=1776166831857 | l1=LYX-USDT BUY out=492.64766632 age=2ms | l2=LYX-ETH SELL out=0.04765014 age=3ms | l3=ETH-USDT SELL out=112.96989700 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.90 USDT | profit=0.063192 USDT | anchor=1776166831858 | l1=LYX-USDT BUY out=492.62518432 age=3ms | l2=LYX-ETH SELL out=0.04764796 age=4ms | l3=ETH-USDT SELL out=112.96468119 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.90 USDT | profit=0.063192 USDT | anchor=1776166831858 | l1=LYX-USDT BUY out=492.62518432 age=0ms | l2=LYX-ETH SELL out=0.04764796 age=4ms | l3=ETH-USDT SELL out=112.96468119 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.90 USDT | profit=0.063235 USDT | anchor=1776166831860 | l1=LYX-USDT BUY out=492.61459280 age=2ms | l2=LYX-ETH SELL out=0.04764694 age=0ms | l3=ETH-USDT SELL out=112.96231037 age=2ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.90 USDT | profit=0.063235 USDT | anchor=1776166831858 | l1=LYX-USDT BUY out=492.61459280 age=0ms | l2=LYX-ETH SELL out=0.04764694 age=4ms | l3=ETH-USDT SELL out=112.96231037 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=116.74 USDT | profit=0.065336 USDT | anchor=1776166831862 | l1=LYX-USDT BUY out=509.35648856 age=4ms | l2=LYX-ETH SELL out=0.04926625 age=2ms | l3=ETH-USDT SELL out=116.80138215 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=116.74 USDT | profit=0.065336 USDT | anchor=1776166831862 | l1=LYX-USDT BUY out=509.35648856 age=0ms | l2=LYX-ETH SELL out=0.04926625 age=2ms | l3=ETH-USDT SELL out=116.80138215 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=116.74 USDT | profit=0.065336 USDT | anchor=1776166831864 | l1=LYX-USDT BUY out=509.35648856 age=0ms | l2=LYX-ETH SELL out=0.04926625 age=4ms | l3=ETH-USDT SELL out=116.80138215 age=2ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0561% | volume=112.71 USDT | profit=0.063200 USDT | anchor=1776166831866 | l1=LYX-USDT BUY out=491.78405776 age=2ms | l2=LYX-ETH SELL out=0.04756661 age=0ms | l3=ETH-USDT SELL out=112.77193337 age=4ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.71 USDT | profit=0.063130 USDT | anchor=1776166831867 | l1=LYX-USDT BUY out=491.77096824 age=0ms | l2=LYX-ETH SELL out=0.04756534 age=1ms | l3=ETH-USDT SELL out=112.76885131 age=5ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.71 USDT | profit=0.063130 USDT | anchor=1776166831867 | l1=LYX-USDT BUY out=491.77096824 age=0ms | l2=LYX-ETH SELL out=0.04756534 age=1ms | l3=ETH-USDT SELL out=112.76885131 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.71 USDT | profit=0.063130 USDT | anchor=1776166831867 | l1=LYX-USDT BUY out=491.77096824 age=0ms | l2=LYX-ETH SELL out=0.04756534 age=1ms | l3=ETH-USDT SELL out=112.76885131 age=0ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.71 USDT | profit=0.063130 USDT | anchor=1776166831869 | l1=LYX-USDT BUY out=491.77096824 age=2ms | l2=LYX-ETH SELL out=0.04756534 age=0ms | l3=ETH-USDT SELL out=112.76885131 age=2ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.71 USDT | profit=0.063130 USDT | anchor=1776166831870 | l1=LYX-USDT BUY out=491.77096824 age=0ms | l2=LYX-ETH SELL out=0.04756534 age=1ms | l3=ETH-USDT SELL out=112.76885131 age=3ms
2026/04/14 14:40:32 [ARB] USDT→LYX→ETH | 0.0560% | volume=112.71 USDT | profit=0.063130 USDT | anchor=1776166831870 | l1=LYX-USDT BUY out=491.77096824 age=0ms | l2=LYX-ETH SELL out=0.04756534 age=0ms | l3=ETH-USDT SELL out=112.76885131 age=3ms
