symbol,count,mean_age_ms,p50_age_ms,p95_age_ms,max_age_ms
BTC-USDT,135113,182.701820,2.000000,1078.000000,11093.000000
ETH-USDT,44863,1481.688697,314.000000,6738.700000,12065.000000
USDT-EUR,13234,6482.611153,4811.000000,20276.700000,29938.000000
KCS-USDT,8947,23960.189561,17497.000000,72748.400000,92637.000000
XMR-USDT,6463,271.037134,1.000000,1446.700000,10982.000000
TRX-USDT,5311,3106.493504,105.000000,15974.500000,54944.000000
XRP-USDT,5155,573.475073,1.000000,3180.400000,13548.000000
TRAC-USDT,4753,823.675784,88.000000,3712.600000,4949.000000
TEL-USDT,4569,1450.464653,233.000000,6692.600000,24536.000000
DASH-USDT,4365,897.137228,204.000000,4296.400000,15096.000000
CRO-USDT,4205,955.468728,0.000000,6479.200000,36650.000000
FET-USDT,3837,2551.134480,862.000000,9944.400000,35847.000000
ONT-USDT,3778,4072.801747,529.500000,21866.550000,46229.000000
A-USDT,3297,11586.961177,3349.000000,47044.200000,74769.000000
DOGE-USDT,3227,1665.276728,300.000000,8102.100000,19023.000000
XLM-USDT,3157,2696.439658,679.000000,12972.400000,26924.000000
ZEC-USDT,3137,409.931463,105.000000,1705.400000,5765.000000
ADA-USDT,2979,1175.916415,133.000000,6672.200000,17634.000000
KLV-USDT,2971,9426.578593,1061.000000,43560.500000,100425.000000
AAVE-USDT,2934,726.385481,59.500000,3350.600000,17462.000000
ETC-USDT,2925,7787.888889,3246.000000,31153.600000,69470.000000
ATOM-USDT,2917,3957.596846,820.000000,19263.600000,33202.000000
LTC-USDT,2907,3048.533196,822.000000,13713.500000,37552.000000
SNX-USDT,2767,13333.710155,3682.000000,51837.400000,92276.000000
BCH-USDT,2730,1763.478755,177.500000,12143.500000,33767.000000
DAG-USDT,2553,203.431257,0.000000,1168.000000,3947.000000
WAN-USDT,2538,2368.580772,362.000000,11373.400000,47071.000000
XDC-USDT,2473,9602.598059,1890.000000,72728.400000,109695.000000
DOT-USDT,2412,4510.396352,937.000000,22267.450000,34525.000000
LINK-USDT,2303,2190.673035,431.000000,10391.400000,29073.000000
TWT-USDT,2268,3868.420635,317.500000,23590.850000,55451.000000
KNC-USDT,2255,15620.650111,11143.000000,48733.900000,60132.000000
BCHSV-USDT,2253,33755.881935,22478.000000,95859.800000,132494.000000
HBAR-USDT,2235,1416.361074,406.000000,6272.100000,14846.000000
BNB-USDT,2221,2575.124268,552.000000,12230.000000,28239.000000
IOTX-USDT,2180,114578.976606,77383.000000,336158.050000,377728.000000
VET-USDT,2065,22585.526392,14677.000000,72659.400000,124284.000000
AVAX-USDT,2049,4475.557345,1168.000000,20231.400000,38417.000000
WIN-USDT,1976,261968.344130,253245.500000,562411.500000,616145.000000
XYO-USDT,1957,210713.772611,182762.000000,471546.800000,514393.000000
KAS-USDT,1845,8188.208130,1385.000000,35685.800000,66148.000000
LYX-USDT,1786,707.531355,146.500000,2920.750000,4928.000000
POND-USDT,1779,2887.510399,1613.000000,9968.900000,22253.000000
BDX-USDT,1779,11821.098932,4276.000000,58903.200000,80181.000000
NEAR-USDT,1768,6290.005090,3007.000000,25014.850000,41865.000000
CHZ-USDT,1753,7241.124929,4263.000000,24899.000000,38057.000000
INJ-USDT,1734,13567.397347,8513.000000,46378.800000,70021.000000
ICP-USDT,1688,19074.620853,12891.500000,63359.000000,86656.000000
NEO-USDT,1652,7085.291768,4205.000000,23531.300000,42287.000000
EWT-USDT,1629,36560.342541,21071.000000,124809.400000,166582.000000
RUNE-USDT,1582,45371.639064,28124.000000,137100.450000,161470.000000
CKB-USDT,1578,15977.942332,10836.500000,51174.200000,70141.000000
ERG-USDT,1557,6165.508028,4218.000000,18324.800000,24261.000000
RSR-USDT,1538,28228.376463,16479.500000,90605.400000,118970.000000
XTZ-USDT,1535,31400.962215,26848.000000,85310.600000,120090.000000
RLC-USDT,1533,19036.530333,14590.000000,54261.800000,60575.000000
STX-USDT,1531,15984.284128,8846.000000,59102.500000,79021.000000
PAXG-USDT,1512,29772.066138,21177.000000,85345.800000,118670.000000
COTI-USDT,1506,43870.387782,35547.000000,113796.000000,169910.000000
EGLD-USDT,1505,46725.732890,35851.000000,126991.600000,168160.000000
AR-USDT,1501,36945.222518,22931.000000,118837.000000,170725.000000
ONE-USDT,1497,25428.788911,23427.000000,56954.800000,74876.000000
OGN-USDT,1487,51935.090114,22553.000000,223947.900000,273873.000000
SCRT-USDT,1475,69673.116610,45246.000000,224119.400000,257973.000000
WAVES-USDT,1474,211412.875170,170238.000000,477245.100000,519316.000000
MANTRA-USDT,1445,93406.152249,60630.000000,297132.400000,322543.000000
WBTC-USDT,1430,105849.798601,80233.000000,265492.500000,292205.000000
KRL-USDT,1428,302287.588936,302615.000000,624814.600000,662700.000000
ALGO-USDT,1395,16614.318280,12034.000000,52529.200000,70606.000000
ANKR-USDT,1346,51855.073551,31981.000000,150190.000000,193707.000000
IOTA-USDT,1312,25562.251524,18756.500000,71657.700000,89964.000000
AVA-USDT,1287,26671.680653,7409.000000,113187.300000,148803.000000
ENJ-USDT,1192,1800.194631,88.000000,9796.750000,22966.000000
SOL-USDT,1030,192.385437,0.000000,620.000000,20350.000000
USDT-BRL,1013,4267.634748,24.000000,21257.400000,29602.000000
SUI-USDT,895,225.622346,0.000000,581.400000,16537.000000
SHIB-USDT,845,3949.317160,1182.000000,17727.600000,46000.000000
CSPR-USDT,767,36998.029987,18782.000000,124341.700000,182602.000000
ZIL-USDT,696,59340.051724,29288.500000,234068.000000,293629.000000
PEPE-USDT,625,253.654400,0.000000,1174.800000,20097.000000
STORJ-USDT,618,18956.733010,8697.500000,91328.150000,118539.000000
NFT-USDT,598,11263.006689,6112.000000,37970.700000,61087.000000
MANA-USDT,581,41611.049914,29367.000000,112276.000000,154954.000000
IOST-USDT,557,47324.597846,32095.000000,145211.600000,163261.000000
ICX-USDT,500,113441.442000,82550.500000,335215.050000,364343.000000
HYPE-USDT,413,622.888620,0.000000,3702.200000,25028.000000
