base1,quote1,symbol1,step1,minQty1,minNotional1,spot1,market1,qoq1,quotePrec1,base2,quote2,symbol2,step2,minQty2,minNotional2,spot2,market2,qoq2,quotePrec2,base3,quote3,symbol3,step3,minQty3,minNotional3,spot3,market3,qoq3,quotePrec3,cycle_leg1,cycle_leg2,cycle_leg3,min_start_usdt,trade_amount_ok,reason
0G,USDC,0GUSDC,0,0.000000000000,0.000000000000,0,1,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,0G,USDT,0GUSDT,0,0.000000000000,0.000000000000,1,1,0,3,,,,0.000000,0,spot not allowed
1DOLLAR,USDC,1DOLLARUSDC,0,0.000000000000,0.000000000000,0,1,0,6,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,1DOLLAR,USDT,1DOLLARUSDT,0,0.000000000000,0.000000000000,1,1,0,6,,,,0.000000,0,spot not allowed
A,USDC,AUSDC,0,0.000000000000,0.000000000000,0,1,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,A,USDT,AUSDT,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
A,BTC,ABTC,0,0.000000000000,0.000000000000,0,1,0,9,BTC,USDC,BTCUSDC,0,0.000000000000,0.000000000000,1,1,0,2,A,USDC,AUSDC,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
A,BTC,ABTC,0,0.000000000000,0.000000000000,0,1,0,9,BTC,USDT,BTCUSDT,0,0.000000000000,0.000000000000,0,1,0,2,A,USDT,AUSDT,0,0.000000000000,0.000000000000,0,1,0,4,,,,0.000000,0,spot not allowed
AAVE,USDC,AAVEUSDC,0,0.000000000000,0.000000000000,1,0,0,2,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,AAVE,USDT,AAVEUSDT,0,0.000000000000,0.000000000000,1,1,0,2,,,,0.000000,0,market not allowed
ACH,USDC,ACHUSDC,0,0.000000000000,0.000000000000,0,1,0,6,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,ACH,USDT,ACHUSDT,0,0.000000000000,0.000000000000,1,1,0,6,,,,0.000000,0,spot not allowed
ADA,EUR,ADAEUR,0,0.000000000000,0.000000000000,1,1,0,4,EUR,USDC,EURUSDC,0,0.000000000000,0.000000000000,0,1,0,4,ADA,USDC,ADAUSDC,0,0.000000000000,0.000000000000,1,0,0,4,,,,0.000000,0,spot not allowed
ADA,EUR,ADAEUR,0,0.000000000000,0.000000000000,1,1,0,4,EUR,USDT,EURUSDT,0,0.000000000000,0.000000000000,0,1,0,4,ADA,USDT,ADAUSDT,0,0.000000000000,0.000000000000,1,1,0,4,,,,0.000000,0,spot not allowed
ADA,USDC,ADAUSDC,0,0.000000000000,0.000000000000,1,0,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,ADA,USDT,ADAUSDT,0,0.000000000000,0.000000000000,1,1,0,4,,,,0.000000,0,market not allowed
