base1,quote1,base2,quote2,base3,quote3
A,USDC,USDT,USDC,A,USDT
A,BTC,BTC,USDT,A,USDT
A,BTC,BTC,USDC,A,USDC
A,BTC,ETH,BTC,A,ETH
A,ETH,ETH,USDT,A,USDT
A,ETH,ETH,USDC,A,USDC
AAVE,BTC,BTC,USDT,AAVE,USDT
ADA,KCS,KCS,USDC,ADA,USDC
ADA,KCS,KCS,USDT,ADA,USDT
ADA,USD1,USD1,USDT,ADA,USDT
ADA,BTC,KCS,BTC,ADA,KCS
ADA,BTC,BTC,USD1,ADA,USD1
ADA,BTC,BTC,USDT,ADA,USDT
ADA,BTC,BTC,USDC,ADA,USDC
ADA,USDC,USDT,USDC,ADA,USDT
ADX,USDC,USDT,USDC,ADX,USDT
ALGO,ETH,ETH,USDT,ALGO,USDT
ALGO,ETH,ETH,USDC,ALGO,USDC
ALGO,USDC,USDT,USDC,ALGO,USDT
ALGO,BTC,ETH,BTC,ALGO,ETH
ALGO,BTC,BTC,USDT,ALGO,USDT
ALGO,BTC,BTC,USDC,ALGO,USDC
AMPL,BTC,BTC,USDT,AMPL,USDT
ANKR,BTC,BTC,USDT,ANKR,USDT
APE,USDC,USDT,USDC,APE,USDT
AR,BTC,BTC,USDT,AR,USDT
ASTR,BTC,BTC,USDT,ASTR,USDT
ATOM,USDC,USDT,USDC,ATOM,USDT
ATOM,BTC,ETH,BTC,ATOM,ETH
ATOM,BTC,BTC,USDT,ATOM,USDT
ATOM,BTC,BTC,USDC,ATOM,USDC
ATOM,ETH,ETH,USDC,ATOM,USDC
ATOM,ETH,ETH,USDT,ATOM,USDT
AVA,BTC,ETH,BTC,AVA,ETH
AVA,BTC,BTC,USDT,AVA,USDT
AVA,ETH,ETH,USDT,AVA,USDT
AVAX,USDC,USDT,USDC,AVAX,USDT
AVAX,BTC,BTC,USDC,AVAX,USDC
AVAX,BTC,BTC,USDT,AVAX,USDT
BAX,ETH,ETH,USDT,BAX,USDT
BAX,BTC,ETH,BTC,BAX,ETH
BAX,BTC,BTC,USDT,BAX,USDT
BCH,BTC,BTC,USDT,BCH,USDT
BCH,BTC,BTC,USDC,BCH,USDC
BCH,USDC,USDT,USDC,BCH,USDT
BCHSV,BTC,BTC,USDT,BCHSV,USDT
BCHSV,BTC,ETH,BTC,BCHSV,ETH
BCHSV,BTC,BTC,USDC,BCHSV,USDC
BCHSV,ETH,ETH,USDC,BCHSV,USDC
BCHSV,ETH,ETH,USDT,BCHSV,USDT
BCHSV,USDC,USDT,USDC,BCHSV,USDT
BDX,BTC,BTC,USDT,BDX,USDT
BNB,BTC,BTC,USDT,BNB,USDT
BNB,BTC,KCS,BTC,BNB,KCS
BNB,BTC,BTC,USDC,BNB,USDC
BNB,KCS,KCS,USDT,BNB,USDT
BNB,KCS,KCS,USDC,BNB,USDC
BNB,USDC,USDT,USDC,BNB,USDT
