base1,quote1,base2,quote2,base3,quote3,symbol1,symbol2,symbol3
1INCH,USDT,USDT,EUR,1INCH,EUR,1INCH-USDT,USDT-EUR,1INCH-EUR
1INCH,USDT,USDT,USD,1INCH,USD,1INCH-USDT,USDT-USD,1INCH-USD
2Z,USDT,USDT,USD,2Z,USD,2Z-USDT,USDT-USD,2Z-USD
A,USDT,USDT,USD,A,USD,A-USDT,USDT-USD,A-USD
AAVE,USDT,USDT,EUR,AAVE,EUR,AAVE-USDT,USDT-EUR,AAVE-EUR
AAVE,USDT,USDT,USD,AAVE,USD,AAVE-USDT,USDT-USD,AAVE-USD
ACE,USDT,USDT,USD,ACE,USD,ACE-USDT,USDT-USD,ACE-USD
ACH,USDT,USDT,USD,ACH,USD,ACH-USDT,USDT-USD,ACH-USD
ADA,USDC,USDC,EUR,ADA,EUR,ADA-USDC,USDC-EUR,ADA-EUR
ADA,USDC,USDC,USDT,ADA,USDT,ADA-USDC,USDC-USDT,ADA-USDT
ADA,USDT,USDT,EUR,ADA,EUR,ADA-USDT,USDT-EUR,ADA-EUR
ADA,USDT,USDT,USD,ADA,USD,ADA-USDT,USDT-USD,ADA-USD
AERGO,USDT,USDT,USD,AERGO,USD,AERGO-USDT,USDT-USD,AERGO-USD
AEVO,USDT,USDT,USD,AEVO,USD,AEVO-USDT,USDT-USD,AEVO-USD
AGLD,USDT,USDT,USD,AGLD,USD,AGLD-USDT,USDT-USD,AGLD-USD
AIXBT,USDT,USDT,USD,AIXBT,USD,AIXBT-USDT,USDT-USD,AIXBT-USD
ALGO,USDT,USDT,EUR,ALGO,EUR,ALGO-USDT,USDT-EUR,ALGO-EUR
ALGO,USDT,USDT,USD,ALGO,USD,ALGO-USDT,USDT-USD,ALGO-USD
ALLO,USDT,USDT,USD,ALLO,USD,ALLO-USDT,USDT-USD,ALLO-USD
ANIME,USDT,USDT,USD,ANIME,USD,ANIME-USDT,USDT-USD,ANIME-USD
APE,USDT,USDT,EUR,APE,EUR,APE-USDT,USDT-EUR,APE-EUR
APE,USDT,USDT,USD,APE,USD,APE-USDT,USDT-USD,APE-USD
API3,USDT,USDT,USD,API3,USD,API3-USDT,USDT-USD,API3-USD
APT,USDC,USDC,EUR,APT,EUR,APT-USDC,USDC-EUR,APT-EUR
APT,USDC,USDC,USDT,APT,USDT,APT-USDC,USDC-USDT,APT-USDT
APT,USDT,USDT,EUR,APT,EUR,APT-USDT,USDT-EUR,APT-EUR
APT,USDT,USDT,USD,APT,USD,APT-USDT,USDT-USD,APT-USD
AR,USDT,USDT,USD,AR,USD,AR-USDT,USDT-USD,AR-USD
ARB,USDT,USDT,EUR,ARB,EUR,ARB-USDT,USDT-EUR,ARB-EUR
ARB,USDT,USDT,USD,ARB,USD,ARB-USDT,USDT-USD,ARB-USD
ARG,USDT,USDT,USD,ARG,USD,ARG-USDT,USDT-USD,ARG-USD
ARKM,USDT,USDT,USD,ARKM,USD,ARKM-USDT,USDT-USD,ARKM-USD
ASP,USDT,USDT,USD,ASP,USD,ASP-USDT,USDT-USD,ASP-USD
ASTER,USDT,USDT,USD,ASTER,USD,ASTER-USDT,USDT-USD,ASTER-USD
ASTR,USDT,USDT,EUR,ASTR,EUR,ASTR-USDT,USDT-EUR,ASTR-EUR
ASTR,USDT,USDT,USD,ASTR,USD,ASTR-USDT,USDT-USD,ASTR-USD
ATH,USDT,USDT,USD,ATH,USD,ATH-USDT,USDT-USD,ATH-USD
ATOM,USDT,USDT,EUR,ATOM,EUR,ATOM-USDT,USDT-EUR,ATOM-EUR
ATOM,USDT,USDT,USD,ATOM,USD,ATOM-USDT,USDT-USD,ATOM-USD
AUCTION,USDT,USDT,USD,AUCTION,USD,AUCTION-USDT,USDT-USD,AUCTION-USD
AVAX,USDC,USDC,EUR,AVAX,EUR,AVAX-USDC,USDC-EUR,AVAX-EUR
AVAX,USDC,USDC,USDT,AVAX,USDT,AVAX-USDC,USDC-USDT,AVAX-USDT
AVAX,USDT,USDT,EUR,AVAX,EUR,AVAX-USDT,USDT-EUR,AVAX-EUR
AVAX,USDT,USDT,USD,AVAX,USD,AVAX-USDT,USDT-USD,AVAX-USD
AVNT,USDT,USDT,USD,AVNT,USD,AVNT-USDT,USDT-USD,AVNT-USD
AXS,USDT,USDT,EUR,AXS,EUR,AXS-USDT,USDT-EUR,AXS-EUR
AXS,USDT,USDT,USD,AXS,USD,AXS-USDT,USDT-USD,AXS-USD
BABY,USDT,USDT,USD,BABY,USD,BABY-USDT,USDT-USD,BABY-USD
BABYDOGE,USDT,USDT,USD,BABYDOGE,USD,BABYDOGE-USDT,USDT-USD,BABYDOGE-USD
BANANA,USDT,USDT,USD,BANANA,USD,BANANA-USDT,USDT-USD,BANANA-USD
BAND,USDT,USDT,USD,BAND,USD,BAND-USDT,USDT-USD,BAND-USD
BARD,USDT,USDT,USD,BARD,USD,BARD-USDT,USDT-USD,BARD-USD
BAT,USDT,USDT,EUR,BAT,EUR,BAT-USDT,USDT-EUR,BAT-EUR
BAT,USDT,USDT,USD,BAT,USD,BAT-USDT,USDT-USD,BAT-USD
BCH,USDC,USDC,USDT,BCH,USDT,BCH-USDC,USDC-USDT,BCH-USDT
BCH,USDT,USDT,USD,BCH,USD,BCH-USDT,USDT-USD,BCH-USD
BERA,USDT,USDT,USD,BERA,USD,BERA-USDT,USDT-USD,BERA-USD
BETH,ETH,ETH,USDT,BETH,USDT,BETH-ETH,ETH-USDT,BETH-USDT
BICO,USDT,USDT,USD,BICO,USD,BICO-USDT,USDT-USD,BICO-USD
BIGTIME,USDT,USDT,USD,BIGTIME,USD,BIGTIME-USDT,USDT-USD,BIGTIME-USD
BIO,USDT,USDT,USD,BIO,USD,BIO-USDT,USDT-USD,BIO-USD
BLUR,USDT,USDT,USD,BLUR,USD,BLUR-USDT,USDT-USD,BLUR-USD
BNB,USDC,USDC,EUR,BNB,EUR,BNB-USDC,USDC-EUR,BNB-EUR
BNB,USDC,USDC,USDT,BNB,USDT,BNB-USDC,USDC-USDT,BNB-USDT
BNB,USDT,USDT,EUR,BNB,EUR,BNB-USDT,USDT-EUR,BNB-EUR
BNB,USDT,USDT,USD,BNB,USD,BNB-USDT,USDT-USD,BNB-USD
BNT,USDT,USDT,USD,BNT,USD,BNT-USDT,USDT-USD,BNT-USD
BOME,USDT,USDT,USD,BOME,USD,BOME-USDT,USDT-USD,BOME-USD
BONK,USDT,USDT,USD,BONK,USD,BONK-USDT,USDT-USD,BONK-USD
BTC,USDC,USDC,AUD,BTC,AUD,BTC-USDC,USDC-AUD,BTC-AUD
BTC,USDC,USDC,BRL,BTC,BRL,BTC-USDC,USDC-BRL,BTC-BRL
BTC,USDC,USDC,EUR,BTC,EUR,BTC-USDC,USDC-EUR,BTC-EUR
BTC,USDC,USDC,USDT,BTC,USDT,BTC-USDC,USDC-USDT,BTC-USDT
BTC,USDT,USDT,AED,BTC,AED,BTC-USDT,USDT-AED,BTC-AED
BTC,USDT,USDT,AUD,BTC,AUD,BTC-USDT,USDT-AUD,BTC-AUD
BTC,USDT,USDT,BRL,BTC,BRL,BTC-USDT,USDT-BRL,BTC-BRL
BTC,USDT,USDT,EUR,BTC,EUR,BTC-USDT,USDT-EUR,BTC-EUR
BTC,USDT,USDT,TRY,BTC,TRY,BTC-USDT,USDT-TRY,BTC-TRY
BTC,USDT,USDT,USD,BTC,USD,BTC-USDT,USDT-USD,BTC-USD
CAT,USDT,USDT,USD,CAT,USD,CAT-USDT,USDT-USD,CAT-USD
CATI,USDT,USDT,USD,CATI,USD,CATI-USDT,USDT-USD,CATI-USD
CELO,USDT,USDT,USD,CELO,USD,CELO-USDT,USDT-USD,CELO-USD
CELR,USDT,USDT,USD,CELR,USD,CELR-USDT,USDT-USD,CELR-USD
CETUS,USDT,USDT,USD,CETUS,USD,CETUS-USDT,USDT-USD,CETUS-USD
CFG,USDT,USDT,USD,CFG,USD,CFG-USDT,USDT-USD,CFG-USD
CFX,USDT,USDT,USD,CFX,USD,CFX-USDT,USDT-USD,CFX-USD
CHZ,USDT,USDT,EUR,CHZ,EUR,CHZ-USDT,USDT-EUR,CHZ-EUR
CHZ,USDT,USDT,USD,CHZ,USD,CHZ-USDT,USDT-USD,CHZ-USD
CITY,USDT,USDT,USD,CITY,USD,CITY-USDT,USDT-USD,CITY-USD
COMP,USDT,USDT,EUR,COMP,EUR,COMP-USDT,USDT-EUR,COMP-EUR
COMP,USDT,USDT,USD,COMP,USD,COMP-USDT,USDT-USD,COMP-USD
CORE,USDT,USDT,USD,CORE,USD,CORE-USDT,USDT-USD,CORE-USD
CRO,USDT,USDT,EUR,CRO,EUR,CRO-USDT,USDT-EUR,CRO-EUR
CRO,USDT,USDT,USD,CRO,USD,CRO-USDT,USDT-USD,CRO-USD
CRV,USDT,USDT,EUR,CRV,EUR,CRV-USDT,USDT-EUR,CRV-EUR
CRV,USDT,USDT,USD,CRV,USD,CRV-USDT,USDT-USD,CRV-USD
CSPR,USDT,USDT,USD,CSPR,USD,CSPR-USDT,USDT-USD,CSPR-USD
CTC,USDT,USDT,USD,CTC,USD,CTC-USDT,USDT-USD,CTC-USD
CVC,USDT,USDT,USD,CVC,USD,CVC-USDT,USDT-USD,CVC-USD
CVX,USDT,USDT,USD,CVX,USD,CVX-USDT,USDT-USD,CVX-USD
CXT,USDT,USDT,USD,CXT,USD,CXT-USDT,USDT-USD,CXT-USD
DAI,USDT,USDT,USD,DAI,USD,DAI-USDT,USDT-USD,DAI-USD
DAO,USDT,USDT,USD,DAO,USD,DAO-USDT,USDT-USD,DAO-USD
DASH,USDT,USDT,USD,DASH,USD,DASH-USDT,USDT-USD,DASH-USD
DEGEN,USDT,USDT,USD,DEGEN,USD,DEGEN-USDT,USDT-USD,DEGEN-USD
DGB,USDT,USDT,USD,DGB,USD,DGB-USDT,USDT-USD,DGB-USD
DOGE,USDC,USDC,EUR,DOGE,EUR,DOGE-USDC,USDC-EUR,DOGE-EUR
DOGE,USDC,USDC,USDT,DOGE,USDT,DOGE-USDC,USDC-USDT,DOGE-USDT
DOGE,USDT,USDT,EUR,DOGE,EUR,DOGE-USDT,USDT-EUR,DOGE-EUR
DOGE,USDT,USDT,USD,DOGE,USD,DOGE-USDT,USDT-USD,DOGE-USD
DOGS,USDT,USDT,USD,DOGS,USD,DOGS-USDT,USDT-USD,DOGS-USD
DOOD,USDT,USDT,USD,DOOD,USD,DOOD-USDT,USDT-USD,DOOD-USD
DOT,USDC,USDC,EUR,DOT,EUR,DOT-USDC,USDC-EUR,DOT-EUR
DOT,USDC,USDC,USDT,DOT,USDT,DOT-USDC,USDC-USDT,DOT-USDT
DOT,USDT,USDT,EUR,DOT,EUR,DOT-USDT,USDT-EUR,DOT-EUR
DOT,USDT,USDT,USD,DOT,USD,DOT-USDT,USDT-USD,DOT-USD
DUCK,USDT,USDT,USD,DUCK,USD,DUCK-USDT,USDT-USD,DUCK-USD
DYDX,USDT,USDT,EUR,DYDX,EUR,DYDX-USDT,USDT-EUR,DYDX-EUR
DYDX,USDT,USDT,USD,DYDX,USD,DYDX-USDT,USDT-USD,DYDX-USD
EGLD,USDT,USDT,EUR,EGLD,EUR,EGLD-USDT,USDT-EUR,EGLD-EUR
EGLD,USDT,USDT,USD,EGLD,USD,EGLD-USDT,USDT-USD,EGLD-USD
EIGEN,USDT,USDT,USD,EIGEN,USD,EIGEN-USDT,USDT-USD,EIGEN-USD
ELF,USDT,USDT,USD,ELF,USD,ELF-USDT,USDT-USD,ELF-USD
ELON,USDT,USDT,USD,ELON,USD,ELON-USDT,USDT-USD,ELON-USD
ENA,USDT,USDT,USD,ENA,USD,ENA-USDT,USDT-USD,ENA-USD
ENJ,USDT,USDT,USD,ENJ,USD,ENJ-USDT,USDT-USD,ENJ-USD
ENS,USDT,USDT,USD,ENS,USD,ENS-USDT,USDT-USD,ENS-USD
ETC,USDT,USDT,USD,ETC,USD,ETC-USDT,USDT-USD,ETC-USD
ETH,BTC,BTC,AED,ETH,AED,ETH-BTC,BTC-AED,ETH-AED
ETH,BTC,BTC,AUD,ETH,AUD,ETH-BTC,BTC-AUD,ETH-AUD
ETH,BTC,BTC,BRL,ETH,BRL,ETH-BTC,BTC-BRL,ETH-BRL
ETH,BTC,BTC,EUR,ETH,EUR,ETH-BTC,BTC-EUR,ETH-EUR
ETH,BTC,BTC,TRY,ETH,TRY,ETH-BTC,BTC-TRY,ETH-TRY
ETH,BTC,BTC,USD,ETH,USD,ETH-BTC,BTC-USD,ETH-USD
ETH,BTC,BTC,USDC,ETH,USDC,ETH-BTC,BTC-USDC,ETH-USDC
ETH,BTC,BTC,USDT,ETH,USDT,ETH-BTC,BTC-USDT,ETH-USDT
ETH,USDC,USDC,AUD,ETH,AUD,ETH-USDC,USDC-AUD,ETH-AUD
ETH,USDC,USDC,BRL,ETH,BRL,ETH-USDC,USDC-BRL,ETH-BRL
ETH,USDC,USDC,EUR,ETH,EUR,ETH-USDC,USDC-EUR,ETH-EUR
ETH,USDC,USDC,USDT,ETH,USDT,ETH-USDC,USDC-USDT,ETH-USDT
ETH,USDT,USDT,AED,ETH,AED,ETH-USDT,USDT-AED,ETH-AED
ETH,USDT,USDT,AUD,ETH,AUD,ETH-USDT,USDT-AUD,ETH-AUD
ETH,USDT,USDT,BRL,ETH,BRL,ETH-USDT,USDT-BRL,ETH-BRL
ETH,USDT,USDT,EUR,ETH,EUR,ETH-USDT,USDT-EUR,ETH-EUR
ETH,USDT,USDT,TRY,ETH,TRY,ETH-USDT,USDT-TRY,ETH-TRY
ETH,USDT,USDT,USD,ETH,USD,ETH-USDT,USDT-USD,ETH-USD
ETHFI,USDT,USDT,USD,ETHFI,USD,ETHFI-USDT,USDT-USD,ETHFI-USD
ETHW,USDT,USDT,USD,ETHW,USD,ETHW-USDT,USDT-USD,ETHW-USD
FET,USDC,USDC,EUR,FET,EUR,FET-USDC,USDC-EUR,FET-EUR
FET,USDC,USDC,USDT,FET,USDT,FET-USDC,USDC-USDT,FET-USDT
FET,USDT,USDT,EUR,FET,EUR,FET-USDT,USDT-EUR,FET-EUR
FIL,USDC,USDC,USDT,FIL,USDT,FIL-USDC,USDC-USDT,FIL-USDT
FIL,USDT,USDT,USD,FIL,USD,FIL-USDT,USDT-USD,FIL-USD
FLOKI,USDT,USDT,USD,FLOKI,USD,FLOKI-USDT,USDT-USD,FLOKI-USD
FLOW,USDT,USDT,EUR,FLOW,EUR,FLOW-USDT,USDT-EUR,FLOW-EUR
FLOW,USDT,USDT,USD,FLOW,USD,FLOW-USDT,USDT-USD,FLOW-USD
FLR,USDT,USDT,EUR,FLR,EUR,FLR-USDT,USDT-EUR,FLR-EUR
FLR,USDT,USDT,USD,FLR,USD,FLR-USDT,USDT-USD,FLR-USD
FLUID,USDT,USDT,USD,FLUID,USD,FLUID-USDT,USDT-USD,FLUID-USD
FXS,USDT,USDT,EUR,FXS,EUR,FXS-USDT,USDT-EUR,FXS-EUR
G,USDT,USDT,USD,G,USD,G-USDT,USDT-USD,G-USD
GALA,USDT,USDT,USD,GALA,USD,GALA-USDT,USDT-USD,GALA-USD
GAS,USDT,USDT,USD,GAS,USD,GAS-USDT,USDT-USD,GAS-USD
GEAR,USDT,USDT,USD,GEAR,USD,GEAR-USDT,USDT-USD,GEAR-USD
GHST,USDT,USDT,USD,GHST,USD,GHST-USDT,USDT-USD,GHST-USD
GLM,USDT,USDT,USD,GLM,USD,GLM-USDT,USDT-USD,GLM-USD
GMT,USDT,USDT,USD,GMT,USD,GMT-USDT,USDT-USD,GMT-USD
GOAT,USDT,USDT,USD,GOAT,USD,GOAT-USDT,USDT-USD,GOAT-USD
GODS,USDT,USDT,USD,GODS,USD,GODS-USDT,USDT-USD,GODS-USD
GRT,USDT,USDT,EUR,GRT,EUR,GRT-USDT,USDT-EUR,GRT-EUR
GRT,USDT,USDT,USD,GRT,USD,GRT-USDT,USDT-USD,GRT-USD
HBAR,USDT,USDT,EUR,HBAR,EUR,HBAR-USDT,USDT-EUR,HBAR-EUR
HBAR,USDT,USDT,USD,HBAR,USD,HBAR-USDT,USDT-USD,HBAR-USD
HMSTR,USDT,USDT,USD,HMSTR,USD,HMSTR-USDT,USDT-USD,HMSTR-USD
HUMA,USDT,USDT,USD,HUMA,USD,HUMA-USDT,USDT-USD,HUMA-USD
HYPE,USDC,USDC,EUR,HYPE,EUR,HYPE-USDC,USDC-EUR,HYPE-EUR
HYPE,USDC,USDC,USDT,HYPE,USDT,HYPE-USDC,USDC-USDT,HYPE-USDT
HYPE,USDT,USDT,EUR,HYPE,EUR,HYPE-USDT,USDT-EUR,HYPE-EUR
HYPE,USDT,USDT,USD,HYPE,USD,HYPE-USDT,USDT-USD,HYPE-USD
ICP,USDT,USDT,EUR,ICP,EUR,ICP-USDT,USDT-EUR,ICP-EUR
ICP,USDT,USDT,USD,ICP,USD,ICP-USDT,USDT-USD,ICP-USD
ICX,USDT,USDT,USD,ICX,USD,ICX-USDT,USDT-USD,ICX-USD
