base1,quote1,base2,quote2,base3,quote3,min_start_usdt,reason
0G,USDC,USDC,USDT,0G,USDT,0.000000,spot/market/price not ok
1DOLLAR,USDC,USDC,USDT,1DOLLAR,USDT,0.000000,spot/market/price not ok
A,USDC,USDC,USDT,A,USDT,0.000000,spot/market/price not ok
A,BTC,BTC,USDC,A,USDC,0.000000,spot/market/price not ok
A,BTC,BTC,USDT,A,USDT,0.000000,spot/market/price not ok
AAVE,USDC,USDC,USDT,AAVE,USDT,0.000000,spot/market/price not ok
ACH,USDC,USDC,USDT,ACH,USDT,0.000000,spot/market/price not ok
ADA,EUR,EUR,USDC,ADA,USDC,0.000000,spot/market/price not ok
ADA,EUR,EUR,USDT,ADA,USDT,0.000000,spot/market/price not ok
ADA,USDC,USDC,USDT,ADA,USDT,0.000000,spot/market/price not ok
ADA,BTC,BTC,USDC,ADA,USDC,0.000000,spot/market/price not ok
ADA,BTC,BTC,USDT,ADA,USDT,0.000000,spot/market/price not ok
ADA,BTC,BTC,EUR,ADA,EUR,0.000000,spot/market/price not ok
AERGO,USDC,USDC,USDT,AERGO,USDT,0.000000,spot/market/price not ok
AGT,USDC,USDC,USDT,AGT,USDT,0.000000,spot/market/price not ok
AIOT,USDC,USDC,USDT,AIOT,USDT,0.000000,spot/market/price not ok
AIXBT,USDC,USDC,USDT,AIXBT,USDT,0.010000,
ALCH,USDC,USDC,USDT,ALCH,USDT,0.000000,spot/market/price not ok
ALGO,USDC,USDC,USDT,ALGO,USDT,0.000000,spot/market/price not ok
ALLO,USDC,USDC,USDT,ALLO,USDT,0.000000,spot/market/price not ok
ANKR,BTC,BTC,USDT,ANKR,USDT,0.000000,spot/market/price not ok
APE,USDC,USDC,USDT,APE,USDT,0.000000,spot/market/price not ok
APR,USDC,USDC,USDT,APR,USDT,0.000000,spot/market/price not ok
APT,USDC,USDC,USDT,APT,USDT,0.000000,spot/market/price not ok
AR,USDC,USDC,USDT,AR,USDT,0.000000,spot/market/price not ok
AR,ETH,ETH,USDT,AR,USDT,0.000000,spot/market/price not ok
AR,ETH,ETH,USDC,AR,USDC,0.000000,spot/market/price not ok
ARB,USDC,USDC,USDT,ARB,USDT,0.000000,spot/market/price not ok
ARKM,USDC,USDC,USDT,ARKM,USDT,0.000000,spot/market/price not ok
ART,USDC,USDC,USDT,ART,USDT,0.000000,spot/market/price not ok
ASTER,USDC,USDC,USDT,ASTER,USDT,0.000000,spot/market/price not ok
AT,USDC,USDC,USDT,AT,USDT,0.000000,spot/market/price not ok
ATOM,BTC,BTC,USDC,ATOM,USDC,0.000000,spot/market/price not ok
ATOM,BTC,BTC,USDT,ATOM,USDT,0.000000,spot/market/price not ok
ATOM,USDC,USDC,USDT,ATOM,USDT,0.000000,spot/market/price not ok
AVAX,USDC,USDC,USDT,AVAX,USDT,0.000000,spot/market/price not ok
AVAX,EUR,EUR,USDC,AVAX,USDC,0.000000,spot/market/price not ok
AVAX,EUR,EUR,USDT,AVAX,USDT,0.000000,spot/market/price not ok
AVNT,USDC,USDC,USDT,AVNT,USDT,0.000000,spot/market/price not ok
AZERO,USDC,USDC,USDT,AZERO,USDT,0.000000,spot/market/price not ok
B,USD1,USD1,USDT,B,USDT,0.000000,spot/market/price not ok
B2,USDC,USDC,USDT,B2,USDT,0.000000,spot/market/price not ok
