start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to
USDT,USDC,0G,USDT,USDCUSDT,BUY,ASK,USDT,USDC,0GUSDC,BUY,ASK,USDC,0G,0GUSDT,SELL,BID,0G,USDT
USDT,0G,USDC,USDT,0GUSDT,BUY,ASK,USDT,0G,0GUSDC,SELL,BID,0G,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,1DOLLAR,USDT,USDCUSDT,BUY,ASK,USDT,USDC,1DOLLARUSDC,BUY,ASK,USDC,1DOLLAR,1DOLLARUSDT,SELL,BID,1DOLLAR,USDT
USDT,1DOLLAR,USDC,USDT,1DOLLARUSDT,BUY,ASK,USDT,1DOLLAR,1DOLLARUSDC,SELL,BID,1DOLLAR,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,1INCH,USDT,USDCUSDT,BUY,ASK,USDT,USDC,1INCHUSDC,BUY,ASK,USDC,1INCH,1INCHUSDT,SELL,BID,1INCH,USDT
USDT,1INCH,USDC,USDT,1INCHUSDT,BUY,ASK,USDT,1INCH,1INCHUSDC,SELL,BID,1INCH,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BTC,A,USDT,BTCUSDT,BUY,ASK,USDT,BTC,ABTC,BUY,ASK,BTC,A,AUSDT,SELL,BID,A,USDT
USDT,A,BTC,USDT,AUSDT,BUY,ASK,USDT,A,ABTC,SELL,BID,A,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,USDC,A,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AUSDC,BUY,ASK,USDC,A,AUSDT,SELL,BID,A,USDT
USDT,A,USDC,USDT,AUSDT,BUY,ASK,USDT,A,AUSDC,SELL,BID,A,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ACH,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ACHUSDC,BUY,ASK,USDC,ACH,ACHUSDT,SELL,BID,ACH,USDT
USDT,ACH,USDC,USDT,ACHUSDT,BUY,ASK,USDT,ACH,ACHUSDC,SELL,BID,ACH,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ACT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ACTUSDC,BUY,ASK,USDC,ACT,ACTUSDT,SELL,BID,ACT,USDT
USDT,ACT,USDC,USDT,ACTUSDT,BUY,ASK,USDT,ACT,ACTUSDC,SELL,BID,ACT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,EUR,ADA,USDT,EURUSDT,BUY,ASK,USDT,EUR,ADAEUR,BUY,ASK,EUR,ADA,ADAUSDT,SELL,BID,ADA,USDT
USDT,ADA,EUR,USDT,ADAUSDT,BUY,ASK,USDT,ADA,ADAEUR,SELL,BID,ADA,EUR,EURUSDT,SELL,BID,EUR,USDT
USDT,USDC,AERGO,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AERGOUSDC,BUY,ASK,USDC,AERGO,AERGOUSDT,SELL,BID,AERGO,USDT
USDT,AERGO,USDC,USDT,AERGOUSDT,BUY,ASK,USDT,AERGO,AERGOUSDC,SELL,BID,AERGO,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,AEVO,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AEVOUSDC,BUY,ASK,USDC,AEVO,AEVOUSDT,SELL,BID,AEVO,USDT
USDT,AEVO,USDC,USDT,AEVOUSDT,BUY,ASK,USDT,AEVO,AEVOUSDC,SELL,BID,AEVO,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,AGT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AGTUSDC,BUY,ASK,USDC,AGT,AGTUSDT,SELL,BID,AGT,USDT
USDT,AGT,USDC,USDT,AGTUSDT,BUY,ASK,USDT,AGT,AGTUSDC,SELL,BID,AGT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,AIOT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AIOTUSDC,BUY,ASK,USDC,AIOT,AIOTUSDT,SELL,BID,AIOT,USDT
USDT,AIOT,USDC,USDT,AIOTUSDT,BUY,ASK,USDT,AIOT,AIOTUSDC,SELL,BID,AIOT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,AIXBT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AIXBTUSDC,BUY,ASK,USDC,AIXBT,AIXBTUSDT,SELL,BID,AIXBT,USDT
USDT,AIXBT,USDC,USDT,AIXBTUSDT,BUY,ASK,USDT,AIXBT,AIXBTUSDC,SELL,BID,AIXBT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ALCH,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ALCHUSDC,BUY,ASK,USDC,ALCH,ALCHUSDT,SELL,BID,ALCH,USDT
USDT,ALCH,USDC,USDT,ALCHUSDT,BUY,ASK,USDT,ALCH,ALCHUSDC,SELL,BID,ALCH,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ALLO,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ALLOUSDC,BUY,ASK,USDC,ALLO,ALLOUSDT,SELL,BID,ALLO,USDT
USDT,ALLO,USDC,USDT,ALLOUSDT,BUY,ASK,USDT,ALLO,ALLOUSDC,SELL,BID,ALLO,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BTC,ANKR,USDT,BTCUSDT,BUY,ASK,USDT,BTC,ANKRBTC,BUY,ASK,BTC,ANKR,ANKRUSDT,SELL,BID,ANKR,USDT
USDT,ANKR,BTC,USDT,ANKRUSDT,BUY,ASK,USDT,ANKR,ANKRBTC,SELL,BID,ANKR,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,USDC,API3,USDT,USDCUSDT,BUY,ASK,USDT,USDC,API3USDC,BUY,ASK,USDC,API3,API3USDT,SELL,BID,API3,USDT
USDT,API3,USDC,USDT,API3USDT,BUY,ASK,USDT,API3,API3USDC,SELL,BID,API3,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,APR,USDT,USDCUSDT,BUY,ASK,USDT,USDC,APRUSDC,BUY,ASK,USDC,APR,APRUSDT,SELL,BID,APR,USDT
USDT,APR,USDC,USDT,APRUSDT,BUY,ASK,USDT,APR,APRUSDC,SELL,BID,APR,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,APT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,APTUSDC,BUY,ASK,USDC,APT,APTUSDT,SELL,BID,APT,USDT
USDT,APT,USDC,USDT,APTUSDT,BUY,ASK,USDT,APT,APTUSDC,SELL,BID,APT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,ETH,AR,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ARETH,BUY,ASK,ETH,AR,ARUSDT,SELL,BID,AR,USDT
USDT,AR,ETH,USDT,ARUSDT,BUY,ASK,USDT,AR,ARETH,SELL,BID,AR,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,USDC,AR,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ARUSDC,BUY,ASK,USDC,AR,ARUSDT,SELL,BID,AR,USDT
USDT,AR,USDC,USDT,ARUSDT,BUY,ASK,USDT,AR,ARUSDC,SELL,BID,AR,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ARB,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ARBUSDC,BUY,ASK,USDC,ARB,ARBUSDT,SELL,BID,ARB,USDT
USDT,ARB,USDC,USDT,ARBUSDT,BUY,ASK,USDT,ARB,ARBUSDC,SELL,BID,ARB,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ARKM,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ARKMUSDC,BUY,ASK,USDC,ARKM,ARKMUSDT,SELL,BID,ARKM,USDT
USDT,ARKM,USDC,USDT,ARKMUSDT,BUY,ASK,USDT,ARKM,ARKMUSDC,SELL,BID,ARKM,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ART,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ARTUSDC,BUY,ASK,USDC,ART,ARTUSDT,SELL,BID,ART,USDT
USDT,ART,USDC,USDT,ARTUSDT,BUY,ASK,USDT,ART,ARTUSDC,SELL,BID,ART,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ASTER,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ASTERUSDC,BUY,ASK,USDC,ASTER,ASTERUSDT,SELL,BID,ASTER,USDT
USDT,ASTER,USDC,USDT,ASTERUSDT,BUY,ASK,USDT,ASTER,ASTERUSDC,SELL,BID,ASTER,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,AT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ATUSDC,BUY,ASK,USDC,AT,ATUSDT,SELL,BID,AT,USDT
USDT,AT,USDC,USDT,ATUSDT,BUY,ASK,USDT,AT,ATUSDC,SELL,BID,AT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BTC,ATOM,USDT,BTCUSDT,BUY,ASK,USDT,BTC,ATOMBTC,BUY,ASK,BTC,ATOM,ATOMUSDT,SELL,BID,ATOM,USDT
USDT,ATOM,BTC,USDT,ATOMUSDT,BUY,ASK,USDT,ATOM,ATOMBTC,SELL,BID,ATOM,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,EUR,AVAX,USDT,EURUSDT,BUY,ASK,USDT,EUR,AVAXEUR,BUY,ASK,EUR,AVAX,AVAXUSDT,SELL,BID,AVAX,USDT
USDT,AVAX,EUR,USDT,AVAXUSDT,BUY,ASK,USDT,AVAX,AVAXEUR,SELL,BID,AVAX,EUR,EURUSDT,SELL,BID,EUR,USDT
USDT,USDC,AVNT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,AVNTUSDC,BUY,ASK,USDC,AVNT,AVNTUSDT,SELL,BID,AVNT,USDT
USDT,AVNT,USDC,USDT,AVNTUSDT,BUY,ASK,USDT,AVNT,AVNTUSDC,SELL,BID,AVNT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USD1,B,USDT,USD1USDT,BUY,ASK,USDT,USD1,BUSD1,BUY,ASK,USD1,B,BUSDT,SELL,BID,B,USDT
USDT,B,USD1,USDT,BUSDT,BUY,ASK,USDT,B,BUSD1,SELL,BID,B,USD1,USD1USDT,SELL,BID,USD1,USDT
USDT,USDC,B2,USDT,USDCUSDT,BUY,ASK,USDT,USDC,B2USDC,BUY,ASK,USDC,B2,B2USDT,SELL,BID,B2,USDT
USDT,B2,USDC,USDT,B2USDT,BUY,ASK,USDT,B2,B2USDC,SELL,BID,B2,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BABY,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BABYUSDC,BUY,ASK,USDC,BABY,BABYUSDT,SELL,BID,BABY,USDT
USDT,BABY,USDC,USDT,BABYUSDT,BUY,ASK,USDT,BABY,BABYUSDC,SELL,BID,BABY,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BABYDOGE,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BABYDOGEUSDC,BUY,ASK,USDC,BABYDOGE,BABYDOGEUSDT,SELL,BID,BABYDOGE,USDT
USDT,BABYDOGE,USDC,USDT,BABYDOGEUSDT,BUY,ASK,USDT,BABYDOGE,BABYDOGEUSDC,SELL,BID,BABYDOGE,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BANANA,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BANANAUSDC,BUY,ASK,USDC,BANANA,BANANAUSDT,SELL,BID,BANANA,USDT
USDT,BANANA,USDC,USDT,BANANAUSDT,BUY,ASK,USDT,BANANA,BANANAUSDC,SELL,BID,BANANA,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BANANAS31,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BANANAS31USDC,BUY,ASK,USDC,BANANAS31,BANANAS31USDT,SELL,BID,BANANAS31,USDT
USDT,BANANAS31,USDC,USDT,BANANAS31USDT,BUY,ASK,USDT,BANANAS31,BANANAS31USDC,SELL,BID,BANANAS31,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USD1,BANK,USDT,USD1USDT,BUY,ASK,USDT,USD1,BANKUSD1,BUY,ASK,USD1,BANK,BANKUSDT,SELL,BID,BANK,USDT
USDT,BANK,USD1,USDT,BANKUSDT,BUY,ASK,USDT,BANK,BANKUSD1,SELL,BID,BANK,USD1,USD1USDT,SELL,BID,USD1,USDT
USDT,USDC,BANK,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BANKUSDC,BUY,ASK,USDC,BANK,BANKUSDT,SELL,BID,BANK,USDT
USDT,BANK,USDC,USDT,BANKUSDT,BUY,ASK,USDT,BANK,BANKUSDC,SELL,BID,BANK,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BARD,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BARDUSDC,BUY,ASK,USDC,BARD,BARDUSDT,SELL,BID,BARD,USDT
USDT,BARD,USDC,USDT,BARDUSDT,BUY,ASK,USDT,BARD,BARDUSDC,SELL,BID,BARD,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BTC,BCH,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BCHBTC,BUY,ASK,BTC,BCH,BCHUSDT,SELL,BID,BCH,USDT
USDT,BCH,BTC,USDT,BCHUSDT,BUY,ASK,USDT,BCH,BCHBTC,SELL,BID,BCH,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,BDX,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BDXBTC,BUY,ASK,BTC,BDX,BDXUSDT,SELL,BID,BDX,USDT
USDT,BDX,BTC,USDT,BDXUSDT,BUY,ASK,USDT,BDX,BDXBTC,SELL,BID,BDX,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,USDC,BDXN,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BDXNUSDC,BUY,ASK,USDC,BDXN,BDXNUSDT,SELL,BID,BDXN,USDT
USDT,BDXN,USDC,USDT,BDXNUSDT,BUY,ASK,USDT,BDXN,BDXNUSDC,SELL,BID,BDXN,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BEAMX,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BEAMXUSDC,BUY,ASK,USDC,BEAMX,BEAMXUSDT,SELL,BID,BEAMX,USDT
USDT,BEAMX,USDC,USDT,BEAMXUSDT,BUY,ASK,USDT,BEAMX,BEAMXUSDC,SELL,BID,BEAMX,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BERA,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BERAUSDC,BUY,ASK,USDC,BERA,BERAUSDT,SELL,BID,BERA,USDT
USDT,BERA,USDC,USDT,BERAUSDT,BUY,ASK,USDT,BERA,BERAUSDC,SELL,BID,BERA,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BKN,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BKNUSDC,BUY,ASK,USDC,BKN,BKNUSDT,SELL,BID,BKN,USDT
USDT,BKN,USDC,USDT,BKNUSDT,BUY,ASK,USDT,BKN,BKNUSDC,SELL,BID,BKN,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BLESS,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BLESSUSDC,BUY,ASK,USDC,BLESS,BLESSUSDT,SELL,BID,BLESS,USDT
USDT,BLESS,USDC,USDT,BLESSUSDT,BUY,ASK,USDT,BLESS,BLESSUSDC,SELL,BID,BLESS,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BLUM,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BLUMUSDC,BUY,ASK,USDC,BLUM,BLUMUSDT,SELL,BID,BLUM,USDT
USDT,BLUM,USDC,USDT,BLUMUSDT,BUY,ASK,USDT,BLUM,BLUMUSDC,SELL,BID,BLUM,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BMT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BMTUSDC,BUY,ASK,USDC,BMT,BMTUSDT,SELL,BID,BMT,USDT
USDT,BMT,USDC,USDT,BMTUSDT,BUY,ASK,USDT,BMT,BMTUSDC,SELL,BID,BMT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BOB,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BOBUSDC,BUY,ASK,USDC,BOB,BOBUSDT,SELL,BID,BOB,USDT
USDT,BOB,USDC,USDT,BOBUSDT,BUY,ASK,USDT,BOB,BOBUSDC,SELL,BID,BOB,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BOMB,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BOMBUSDC,BUY,ASK,USDC,BOMB,BOMBUSDT,SELL,BID,BOMB,USDT
USDT,BOMB,USDC,USDT,BOMBUSDT,BUY,ASK,USDT,BOMB,BOMBUSDC,SELL,BID,BOMB,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BOME,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BOMEUSDC,BUY,ASK,USDC,BOME,BOMEUSDT,SELL,BID,BOME,USDT
USDT,BOME,USDC,USDT,BOMEUSDT,BUY,ASK,USDT,BOME,BOMEUSDC,SELL,BID,BOME,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BONK,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BONKUSDC,BUY,ASK,USDC,BONK,BONKUSDT,SELL,BID,BONK,USDT
USDT,BONK,USDC,USDT,BONKUSDT,BUY,ASK,USDT,BONK,BONKUSDC,SELL,BID,BONK,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BOOM,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BOOMUSDC,BUY,ASK,USDC,BOOM,BOOMUSDT,SELL,BID,BOOM,USDT
USDT,BOOM,USDC,USDT,BOOMUSDT,BUY,ASK,USDT,BOOM,BOOMUSDC,SELL,BID,BOOM,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,BROCCOLIF3B,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BROCCOLIF3BUSDC,BUY,ASK,USDC,BROCCOLIF3B,BROCCOLIF3BUSDT,SELL,BID,BROCCOLIF3B,USDT
USDT,BROCCOLIF3B,USDC,USDT,BROCCOLIF3BUSDT,BUY,ASK,USDT,BROCCOLIF3B,BROCCOLIF3BUSDC,SELL,BID,BROCCOLIF3B,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BRL,BTC,USDT,BRLUSDT,BUY,ASK,USDT,BRL,BTCBRL,BUY,ASK,BRL,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,BRL,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BTCBRL,SELL,BID,BTC,BRL,BRLUSDT,SELL,BID,BRL,USDT
USDT,EUR,BTC,USDT,EURUSDT,BUY,ASK,USDT,EUR,BTCEUR,BUY,ASK,EUR,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,EUR,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BTCEUR,SELL,BID,BTC,EUR,EURUSDT,SELL,BID,EUR,USDT
USDT,USD1,BTC,USDT,USD1USDT,BUY,ASK,USDT,USD1,BTCUSD1,BUY,ASK,USD1,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,USD1,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BTCUSD1,SELL,BID,BTC,USD1,USD1USDT,SELL,BID,USD1,USDT
USDT,USDC,BTC,USDT,USDCUSDT,BUY,ASK,USDT,USDC,BTCUSDC,BUY,ASK,USDC,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,USDC,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BTCUSDC,SELL,BID,BTC,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDE,BTC,USDT,USDEUSDT,BUY,ASK,USDT,USDE,BTCUSDE,BUY,ASK,USDE,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,USDE,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BTCUSDE,SELL,BID,BTC,USDE,USDEUSDT,SELL,BID,USDE,USDT
USDT,USDF,BTC,USDT,USDFUSDT,BUY,ASK,USDT,USDF,BTCUSDF,BUY,ASK,USDF,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,BTC,USDF,USDT,BTCUSDT,BUY,ASK,USDT,BTC,BTCUSDF,SELL,BID,BTC,USDF,USDFUSDT,SELL,BID,USDF,USDT
