start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to,start_amt,end_amt,fail_reason,leg1_lot_sz,leg2_lot_sz,leg3_lot_sz,leg1_min_sz,leg2_min_sz,leg3_min_sz,leg1_tick_sz,leg2_tick_sz,leg3_tick_sz,leg1_max_mkt_amt,leg2_max_mkt_amt,leg3_max_mkt_amt,leg1_max_mkt_sz,leg2_max_mkt_sz,leg3_max_mkt_sz
USDT,1INCH,EUR,USDT,1INCH-USDT,BUY,ASK,USDT,1INCH,1INCH-EUR,SELL,BID,1INCH,EUR,USDT-EUR,BUY,ASK,EUR,USDT,25.00000000,24.97320000,,0.000001,0.000001,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,3000,150000,1000000,1000000,1000000
USDT,EUR,1INCH,USDT,USDT-EUR,SELL,BID,USDT,EUR,1INCH-EUR,BUY,ASK,EUR,1INCH,1INCH-USDT,SELL,BID,1INCH,USDT,25.00000000,24.98298616,,0.0001,0.000001,0.000001,1,10,10,0.0001,0.0001,0.0001,150000,3000,1000000,1000000,1000000,1000000
USDT,1INCH,USD,USDT,1INCH-USDT,BUY,ASK,USDT,1INCH,1INCH-USD,SELL,BID,1INCH,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.94300000,,0.000001,0.000001,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,3500,370000,1000000,1000000,1000000
USDT,USD,1INCH,USDT,USDT-USD,SELL,BID,USDT,USD,1INCH-USD,BUY,ASK,USD,1INCH,1INCH-USDT,SELL,BID,1INCH,USDT,25.00000000,24.98999996,,0.0001,0.000001,0.000001,1,10,10,0.0001,0.0001,0.0001,370000,3500,1000000,1000000,1000000,1000000
USDT,2Z,USD,USDT,2Z-USDT,BUY,ASK,USDT,2Z,2Z-USD,SELL,BID,2Z,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.95960000,,0.01,0.01,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,1000000,370000,1000000,1000000,1000000
USDT,USD,2Z,USDT,USDT-USD,SELL,BID,USDT,USD,2Z-USD,BUY,ASK,USD,2Z,2Z-USDT,SELL,BID,2Z,USDT,25.00000000,24.94335300,,0.0001,0.01,0.01,1,10,10,0.0001,0.0001,0.0001,370000,1000000,1000000,1000000,1000000,1000000
USDT,A,USD,USDT,A-USDT,BUY,ASK,USDT,A,A-USD,SELL,BID,A,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.95810000,,0.01,0.01,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,1800,370000,1000000,1000000,1000000
USDT,USD,A,USDT,USDT-USD,SELL,BID,USDT,USD,A-USD,BUY,ASK,USD,A,A-USDT,SELL,BID,A,USDT,25.00000000,24.92725500,,0.0001,0.01,0.01,1,10,10,0.0001,0.0001,0.0001,370000,1800,1000000,1000000,1000000,1000000
USDT,AAVE,EUR,USDT,AAVE-USDT,BUY,ASK,USDT,AAVE,AAVE-EUR,SELL,BID,AAVE,EUR,USDT-EUR,BUY,ASK,EUR,USDT,25.00000000,24.98120000,,0.000001,0.000001,0.0001,0.01,0.01,1,0.01,0.01,0.0001,1000000,4000,150000,1000000,1000000,1000000
USDT,EUR,AAVE,USDT,USDT-EUR,SELL,BID,USDT,EUR,AAVE-EUR,BUY,ASK,EUR,AAVE,AAVE-USDT,SELL,BID,AAVE,USDT,25.00000000,24.97892424,,0.0001,0.000001,0.000001,1,0.01,0.01,0.0001,0.01,0.01,150000,4000,1000000,1000000,1000000,1000000
USDT,AAVE,USD,USDT,AAVE-USDT,BUY,ASK,USDT,AAVE,AAVE-USD,SELL,BID,AAVE,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.99060000,,0.000001,0.000001,0.0001,0.01,0.01,1,0.01,0.01,0.0001,1000000,2100,370000,1000000,1000000,1000000
USDT,USD,AAVE,USDT,USDT-USD,SELL,BID,USDT,USD,AAVE-USD,BUY,ASK,USD,AAVE,AAVE-USDT,SELL,BID,AAVE,USDT,25.00000000,24.98001132,,0.0001,0.000001,0.000001,1,0.01,0.01,0.0001,0.01,0.01,370000,2100,1000000,1000000,1000000,1000000
USDT,ACE,USD,USDT,ACE-USDT,BUY,ASK,USDT,ACE,ACE-USD,SELL,BID,ACE,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.96610000,,0.0001,0.0001,0.0001,1,1,1,0.0001,0.0001,0.0001,1000000,1300,370000,1000000,1000000,1000000
USDT,USD,ACE,USDT,USDT-USD,SELL,BID,USDT,USD,ACE-USD,BUY,ASK,USD,ACE,ACE-USDT,SELL,BID,ACE,USDT,25.00000000,24.92821702,,0.0001,0.0001,0.0001,1,1,1,0.0001,0.0001,0.0001,370000,1300,1000000,1000000,1000000,1000000
USDT,ACH,USD,USDT,ACH-USDT,BUY,ASK,USDT,ACH,ACH-USD,SELL,BID,ACH,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.93710000,,0.01,0.01,0.0001,100,100,1,0.000001,0.000001,0.0001,1000000,1400,370000,1000000,1000000,1000000
USDT,USD,ACH,USDT,USDT-USD,SELL,BID,USDT,USD,ACH-USD,BUY,ASK,USD,ACH,ACH-USDT,SELL,BID,ACH,USDT,25.00000000,24.92303904,,0.0001,0.01,0.01,1,100,100,0.0001,0.000001,0.000001,370000,1400,1000000,1000000,1000000,1000000
USDT,USDC,ADA,USDT,USDC-USDT,BUY,ASK,USDT,USDC,ADA-USDC,BUY,ASK,USDC,ADA,ADA-USDT,SELL,BID,ADA,USDT,25.00000000,24.98329779,,0.000001,0.001,0.0001,1,10,10,0.0001,0.0001,0.0001,1000000,10000,1000000,1000000,1000000,1000000
USDT,ADA,USDC,USDT,ADA-USDT,BUY,ASK,USDT,ADA,ADA-USDC,SELL,BID,ADA,USDC,USDC-USDT,SELL,BID,USDC,USDT,25.00000000,25.00066395,,0.0001,0.001,0.000001,10,10,1,0.0001,0.0001,0.0001,1000000,10000,1000000,1000000,1000000,1000000
USDT,ADA,EUR,USDT,ADA-USDT,BUY,ASK,USDT,ADA,ADA-EUR,SELL,BID,ADA,EUR,USDT-EUR,BUY,ASK,EUR,USDT,25.00000000,24.99060000,,0.0001,0.0001,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,8000,150000,1000000,1000000,1000000
USDT,EUR,ADA,USDT,USDT-EUR,SELL,BID,USDT,EUR,ADA-EUR,BUY,ASK,EUR,ADA,ADA-USDT,SELL,BID,ADA,USDT,25.00000000,24.98617135,,0.0001,0.0001,0.0001,1,10,10,0.0001,0.0001,0.0001,150000,8000,1000000,1000000,1000000,1000000
USDT,ADA,USD,USDT,ADA-USDT,BUY,ASK,USDT,ADA,ADA-USD,SELL,BID,ADA,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.98760000,,0.0001,0.0001,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,51000,370000,1000000,1000000,1000000
USDT,USD,ADA,USDT,USDT-USD,SELL,BID,USDT,USD,ADA-USD,BUY,ASK,USD,ADA,ADA-USDT,SELL,BID,ADA,USDT,25.00000000,24.99656910,,0.0001,0.0001,0.0001,1,10,10,0.0001,0.0001,0.0001,370000,51000,1000000,1000000,1000000,1000000
USDT,AERGO,USD,USDT,AERGO-USDT,BUY,ASK,USDT,AERGO,AERGO-USD,SELL,BID,AERGO,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.94280000,,0.000001,0.000001,0.0001,10,10,1,0.00001,0.00001,0.0001,8000,1000,370000,1000000,1000000,1000000
USDT,USD,AERGO,USDT,USDT-USD,SELL,BID,USDT,USD,AERGO-USD,BUY,ASK,USD,AERGO,AERGO-USDT,SELL,BID,AERGO,USDT,25.00000000,24.92174193,,0.0001,0.000001,0.000001,1,10,10,0.0001,0.00001,0.00001,370000,1000,8000,1000000,1000000,1000000
USDT,AEVO,USD,USDT,AEVO-USDT,BUY,ASK,USDT,AEVO,AEVO-USD,SELL,BID,AEVO,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.93880000,,0.0001,0.0001,0.0001,10,10,1,0.00001,0.00001,0.0001,1000000,1500,370000,1000000,1000000,1000000
USDT,USD,AEVO,USDT,USDT-USD,SELL,BID,USDT,USD,AEVO-USD,BUY,ASK,USD,AEVO,AEVO-USDT,SELL,BID,AEVO,USDT,25.00000000,24.93516123,,0.0001,0.0001,0.0001,1,10,10,0.0001,0.00001,0.00001,370000,1500,1000000,1000000,1000000,1000000
USDT,AGLD,USD,USDT,AGLD-USDT,BUY,ASK,USDT,AGLD,AGLD-USD,SELL,BID,AGLD,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.94710000,,0.000001,0.000001,0.0001,1,1,1,0.0001,0.0001,0.0001,1000000,1100,370000,1000000,1000000,1000000
USDT,USD,AGLD,USDT,USDT-USD,SELL,BID,USDT,USD,AGLD-USD,BUY,ASK,USD,AGLD,AGLD-USDT,SELL,BID,AGLD,USDT,25.00000000,24.92983099,,0.0001,0.000001,0.000001,1,1,1,0.0001,0.0001,0.0001,370000,1100,1000000,1000000,1000000,1000000
USDT,AIXBT,USD,USDT,AIXBT-USDT,BUY,ASK,USDT,AIXBT,AIXBT-USD,SELL,BID,AIXBT,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.95550000,,0.001,0.001,0.0001,10,10,1,0.00001,0.00001,0.0001,17000,1300,370000,1000000,1000000,1000000
