start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to
USDT,1INCH,EUR,USDT,1INCH-USDT,BUY,ASK,USDT,1INCH,1INCH-EUR,SELL,BID,1INCH,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,1INCH,USDT,USDT-EUR,SELL,BID,USDT,EUR,1INCH-EUR,BUY,ASK,EUR,1INCH,1INCH-USDT,SELL,BID,1INCH,USDT
USDT,1INCH,USD,USDT,1INCH-USDT,BUY,ASK,USDT,1INCH,1INCH-USD,SELL,BID,1INCH,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,1INCH,USDT,USDT-USD,SELL,BID,USDT,USD,1INCH-USD,BUY,ASK,USD,1INCH,1INCH-USDT,SELL,BID,1INCH,USDT
USDT,2Z,USD,USDT,2Z-USDT,BUY,ASK,USDT,2Z,2Z-USD,SELL,BID,2Z,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,2Z,USDT,USDT-USD,SELL,BID,USDT,USD,2Z-USD,BUY,ASK,USD,2Z,2Z-USDT,SELL,BID,2Z,USDT
USDT,A,USD,USDT,A-USDT,BUY,ASK,USDT,A,A-USD,SELL,BID,A,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,A,USDT,USDT-USD,SELL,BID,USDT,USD,A-USD,BUY,ASK,USD,A,A-USDT,SELL,BID,A,USDT
USDT,AAVE,EUR,USDT,AAVE-USDT,BUY,ASK,USDT,AAVE,AAVE-EUR,SELL,BID,AAVE,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,AAVE,USDT,USDT-EUR,SELL,BID,USDT,EUR,AAVE-EUR,BUY,ASK,EUR,AAVE,AAVE-USDT,SELL,BID,AAVE,USDT
USDT,AAVE,USD,USDT,AAVE-USDT,BUY,ASK,USDT,AAVE,AAVE-USD,SELL,BID,AAVE,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,AAVE,USDT,USDT-USD,SELL,BID,USDT,USD,AAVE-USD,BUY,ASK,USD,AAVE,AAVE-USDT,SELL,BID,AAVE,USDT
USDT,ACE,USD,USDT,ACE-USDT,BUY,ASK,USDT,ACE,ACE-USD,SELL,BID,ACE,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ACE,USDT,USDT-USD,SELL,BID,USDT,USD,ACE-USD,BUY,ASK,USD,ACE,ACE-USDT,SELL,BID,ACE,USDT
USDT,ACH,USD,USDT,ACH-USDT,BUY,ASK,USDT,ACH,ACH-USD,SELL,BID,ACH,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ACH,USDT,USDT-USD,SELL,BID,USDT,USD,ACH-USD,BUY,ASK,USD,ACH,ACH-USDT,SELL,BID,ACH,USDT
USDT,USDC,ADA,USDT,USDC-USDT,BUY,ASK,USDT,USDC,ADA-USDC,BUY,ASK,USDC,ADA,ADA-USDT,SELL,BID,ADA,USDT
USDT,ADA,USDC,USDT,ADA-USDT,BUY,ASK,USDT,ADA,ADA-USDC,SELL,BID,ADA,USDC,USDC-USDT,SELL,BID,USDC,USDT
USDT,ADA,EUR,USDT,ADA-USDT,BUY,ASK,USDT,ADA,ADA-EUR,SELL,BID,ADA,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,ADA,USDT,USDT-EUR,SELL,BID,USDT,EUR,ADA-EUR,BUY,ASK,EUR,ADA,ADA-USDT,SELL,BID,ADA,USDT
USDT,ADA,USD,USDT,ADA-USDT,BUY,ASK,USDT,ADA,ADA-USD,SELL,BID,ADA,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ADA,USDT,USDT-USD,SELL,BID,USDT,USD,ADA-USD,BUY,ASK,USD,ADA,ADA-USDT,SELL,BID,ADA,USDT
USDT,AERGO,USD,USDT,AERGO-USDT,BUY,ASK,USDT,AERGO,AERGO-USD,SELL,BID,AERGO,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,AERGO,USDT,USDT-USD,SELL,BID,USDT,USD,AERGO-USD,BUY,ASK,USD,AERGO,AERGO-USDT,SELL,BID,AERGO,USDT
USDT,AEVO,USD,USDT,AEVO-USDT,BUY,ASK,USDT,AEVO,AEVO-USD,SELL,BID,AEVO,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,AEVO,USDT,USDT-USD,SELL,BID,USDT,USD,AEVO-USD,BUY,ASK,USD,AEVO,AEVO-USDT,SELL,BID,AEVO,USDT
USDT,AGLD,USD,USDT,AGLD-USDT,BUY,ASK,USDT,AGLD,AGLD-USD,SELL,BID,AGLD,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,AGLD,USDT,USDT-USD,SELL,BID,USDT,USD,AGLD-USD,BUY,ASK,USD,AGLD,AGLD-USDT,SELL,BID,AGLD,USDT
USDT,AIXBT,USD,USDT,AIXBT-USDT,BUY,ASK,USDT,AIXBT,AIXBT-USD,SELL,BID,AIXBT,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,AIXBT,USDT,USDT-USD,SELL,BID,USDT,USD,AIXBT-USD,BUY,ASK,USD,AIXBT,AIXBT-USDT,SELL,BID,AIXBT,USDT
USDT,ALGO,EUR,USDT,ALGO-USDT,BUY,ASK,USDT,ALGO,ALGO-EUR,SELL,BID,ALGO,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,ALGO,USDT,USDT-EUR,SELL,BID,USDT,EUR,ALGO-EUR,BUY,ASK,EUR,ALGO,ALGO-USDT,SELL,BID,ALGO,USDT
USDT,ALGO,USD,USDT,ALGO-USDT,BUY,ASK,USDT,ALGO,ALGO-USD,SELL,BID,ALGO,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ALGO,USDT,USDT-USD,SELL,BID,USDT,USD,ALGO-USD,BUY,ASK,USD,ALGO,ALGO-USDT,SELL,BID,ALGO,USDT
USDT,ALLO,USD,USDT,ALLO-USDT,BUY,ASK,USDT,ALLO,ALLO-USD,SELL,BID,ALLO,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ALLO,USDT,USDT-USD,SELL,BID,USDT,USD,ALLO-USD,BUY,ASK,USD,ALLO,ALLO-USDT,SELL,BID,ALLO,USDT
USDT,ANIME,USD,USDT,ANIME-USDT,BUY,ASK,USDT,ANIME,ANIME-USD,SELL,BID,ANIME,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ANIME,USDT,USDT-USD,SELL,BID,USDT,USD,ANIME-USD,BUY,ASK,USD,ANIME,ANIME-USDT,SELL,BID,ANIME,USDT
USDT,APE,EUR,USDT,APE-USDT,BUY,ASK,USDT,APE,APE-EUR,SELL,BID,APE,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,APE,USDT,USDT-EUR,SELL,BID,USDT,EUR,APE-EUR,BUY,ASK,EUR,APE,APE-USDT,SELL,BID,APE,USDT
USDT,APE,USD,USDT,APE-USDT,BUY,ASK,USDT,APE,APE-USD,SELL,BID,APE,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,APE,USDT,USDT-USD,SELL,BID,USDT,USD,APE-USD,BUY,ASK,USD,APE,APE-USDT,SELL,BID,APE,USDT
USDT,API3,USD,USDT,API3-USDT,BUY,ASK,USDT,API3,API3-USD,SELL,BID,API3,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,API3,USDT,USDT-USD,SELL,BID,USDT,USD,API3-USD,BUY,ASK,USD,API3,API3-USDT,SELL,BID,API3,USDT
