A,B,C,Leg1,Leg2,Leg3
USDT,WBTC,BTC,BUY WBTC/USDT,SELL WBTC/BTC,SELL BTC/USDT
USDT,BTC,WBTC,BUY BTC/USDT,BUY WBTC/BTC,SELL WBTC/USDT
USDT,BRL,BTC,SELL USDT/BRL,BUY BTC/BRL,SELL BTC/USDT
USDT,BTC,BRL,BUY BTC/USDT,SELL BTC/BRL,BUY USDT/BRL
USDT,BRL,ETH,SELL USDT/BRL,BUY ETH/BRL,SELL ETH/USDT
USDT,ETH,BRL,BUY ETH/USDT,SELL ETH/BRL,BUY USDT/BRL
USDT,BDX,BTC,BUY BDX/USDT,SELL BDX/BTC,SELL BTC/USDT
USDT,BTC,BDX,BUY BTC/USDT,BUY BDX/BTC,SELL BDX/USDT
USDT,KLV,BTC,BUY KLV/USDT,SELL KLV/BTC,SELL BTC/USDT
USDT,BTC,KLV,BUY BTC/USDT,BUY KLV/BTC,SELL KLV/USDT
USDT,KLV,TRX,BUY KLV/USDT,SELL KLV/TRX,SELL TRX/USDT
USDT,TRX,KLV,BUY TRX/USDT,BUY KLV/TRX,SELL KLV/USDT
USDT,ETH,TRX,BUY ETH/USDT,BUY TRX/ETH,SELL TRX/USDT
USDT,TRX,ETH,BUY TRX/USDT,SELL TRX/ETH,SELL ETH/USDT
USDT,ETH,ATOM,BUY ETH/USDT,BUY ATOM/ETH,SELL ATOM/USDT
USDT,ATOM,ETH,BUY ATOM/USDT,SELL ATOM/ETH,SELL ETH/USDT
USDT,ETH,IOST,BUY ETH/USDT,BUY IOST/ETH,SELL IOST/USDT
USDT,IOST,ETH,BUY IOST/USDT,SELL IOST/ETH,SELL ETH/USDT
USDT,ETH,LYX,BUY ETH/USDT,BUY LYX/ETH,SELL LYX/USDT
USDT,LYX,ETH,BUY LYX/USDT,SELL LYX/ETH,SELL ETH/USDT
USDT,ETH,LTC,BUY ETH/USDT,BUY LTC/ETH,SELL LTC/USDT
USDT,LTC,ETH,BUY LTC/USDT,SELL LTC/ETH,SELL ETH/USDT
USDT,ETH,DYP,BUY ETH/USDT,BUY DYP/ETH,SELL DYP/USDT
USDT,DYP,ETH,BUY DYP/USDT,SELL DYP/ETH,SELL ETH/USDT
USDT,ETH,DGB,BUY ETH/USDT,BUY DGB/ETH,SELL DGB/USDT
USDT,DGB,ETH,BUY DGB/USDT,SELL DGB/ETH,SELL ETH/USDT
USDT,ETH,STORJ,BUY ETH/USDT,BUY STORJ/ETH,SELL STORJ/USDT
USDT,STORJ,ETH,BUY STORJ/USDT,SELL STORJ/ETH,SELL ETH/USDT
USDT,ETH,KNC,BUY ETH/USDT,BUY KNC/ETH,SELL KNC/USDT
USDT,KNC,ETH,BUY KNC/USDT,SELL KNC/ETH,SELL ETH/USDT
USDT,ETH,AVA,BUY ETH/USDT,BUY AVA/ETH,SELL AVA/USDT
USDT,AVA,ETH,BUY AVA/USDT,SELL AVA/ETH,SELL ETH/USDT
USDT,ETH,ALGO,BUY ETH/USDT,BUY ALGO/ETH,SELL ALGO/USDT
