A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,A,BTC,BUY A/USDT,0.01,1,0.1,SELL A/BTC,1,1,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,A-USDT,BUY,A,USDT,0.01,0.0001,0.0001,1,0.1,0.1,A-BTC,SELL,A,BTC,1,0.000000001,0.000000001,1,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,A,ETH,BUY A/USDT,0.01,1,0.1,SELL A/ETH,1,1,0.00001,SELL ETH/USDT,0.0000001,0.0001,0.1,A-USDT,BUY,A,USDT,0.01,0.0001,0.0001,1,0.1,0.1,A-ETH,SELL,A,ETH,1,0.0000001,0.0000001,1,0.00001,0.00001,ETH-USDT,SELL,ETH,USDT,0.0000001,0.000001,0.01,0.0001,0.01,0.1
USDT,AAVE,BTC,BUY AAVE/USDT,0.0001,0.001,0.1,SELL AAVE/BTC,0.0001,0.001,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,AAVE-USDT,BUY,AAVE,USDT,0.0001,0.001,0.001,0.001,0.1,0.1,AAVE-BTC,SELL,AAVE,BTC,0.0001,0.000001,0.000001,0.001,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,ADA,BTC,BUY ADA/USDT,0.01,1,0.1,SELL ADA/BTC,0.0001,1,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,ADA-USDT,BUY,ADA,USDT,0.01,0.0001,0.0001,1,0.1,0.1,ADA-BTC,SELL,ADA,BTC,0.0001,0.00000001,0.00000001,1,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,ADA,KCS,BUY ADA/USDT,0.01,1,0.1,SELL ADA/KCS,0.0001,0.01,0.001,SELL KCS/USDT,0.0001,0.1,0.1,ADA-USDT,BUY,ADA,USDT,0.01,0.0001,0.0001,1,0.1,0.1,ADA-KCS,SELL,ADA,KCS,0.0001,0.00001,0.00001,0.01,0.01,0.001,KCS-USDT,SELL,KCS,USDT,0.0001,0.0001,0.001,0.1,0.1,0.1
USDT,ALGO,BTC,BUY ALGO/USDT,0.0001,1,0.1,SELL ALGO/BTC,0.0001,0.01,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,ALGO-USDT,BUY,ALGO,USDT,0.0001,0.0001,0.0001,1,0.1,0.1,ALGO-BTC,SELL,ALGO,BTC,0.0001,0.000000001,0.000000001,0.01,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,ALGO,ETH,BUY ALGO/USDT,0.0001,1,0.1,SELL ALGO/ETH,0.0001,0.01,0.00001,SELL ETH/USDT,0.0000001,0.0001,0.1,ALGO-USDT,BUY,ALGO,USDT,0.0001,0.0001,0.0001,1,0.1,0.1,ALGO-ETH,SELL,ALGO,ETH,0.0001,0.00000001,0.00000001,0.01,0.00001,0.00001,ETH-USDT,SELL,ETH,USDT,0.0000001,0.000001,0.01,0.0001,0.01,0.1
USDT,ANKR,BTC,BUY ANKR/USDT,0.0001,1,0.1,SELL ANKR/BTC,0.0001,10,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,ANKR-USDT,BUY,ANKR,USDT,0.0001,0.00001,0.00001,1,0.1,0.1,ANKR-BTC,SELL,ANKR,BTC,0.0001,0.00000001,0.0000000001,10,0.00001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,AR,BTC,BUY AR/USDT,0.0001,0.01,0.1,SELL AR/BTC,0.0001,0.01,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,AR-USDT,BUY,AR,USDT,0.0001,0.001,0.001,0.01,0.1,0.1,AR-BTC,SELL,AR,BTC,0.0001,0.0000001,0.0000001,0.01,0.00001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
USDT,ATOM,BTC,BUY ATOM/USDT,0.0001,0.1,0.1,SELL ATOM/BTC,0.0001,0.01,0.000001,SELL BTC/USDT,0.00000001,0.00001,0.1,ATOM-USDT,BUY,ATOM,USDT,0.0001,0.0001,0.0001,0.1,0.1,0.1,ATOM-BTC,SELL,ATOM,BTC,0.0001,0.00000001,0.00000001,0.01,0.000001,0.000001,BTC-USDT,SELL,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1
