A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,KAS,EUR,BUY KAS/USDT,0.01,0.01,0,SELL KAS/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,KASUSDT,BUY,KAS,USDT,0.01,0,0,0.01,0,0,KASEUR,SELL,KAS,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,WBTC,BTC,BUY WBTC/USDT,0.00000001,0.00000001,0,SELL WBTC/BTC,0.00001,0.00001,0,SELL BTC/USDT,0.00000001,0.00000001,0,WBTCUSDT,BUY,WBTC,USDT,0.00000001,0,0,0.00000001,0,0,WBTCBTC,SELL,WBTC,BTC,0.00001,0,0,0.00001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,MELANIA,EUR,BUY MELANIA/USDT,0.01,0.01,0,SELL MELANIA/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,MELANIAUSDT,BUY,MELANIA,USDT,0.01,0,0,0.01,0,0,MELANIAEUR,SELL,MELANIA,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,SHIB,EUR,BUY SHIB/USDT,1,1,0,SELL SHIB/EUR,1,1,0,SELL EUR/USDT,0.01,0.01,0,SHIBUSDT,BUY,SHIB,USDT,1,0,0,1,0,0,SHIBEUR,SELL,SHIB,EUR,1,0,0,1,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,PEPE,EUR,BUY PEPE/USDT,1,1,0,SELL PEPE/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,PEPEUSDT,BUY,PEPE,USDT,1,0,0,1,0,0,PEPEEUR,SELL,PEPE,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,TRUMP,EUR,BUY TRUMP/USDT,0.01,0.01,0,SELL TRUMP/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,TRUMPUSDT,BUY,TRUMP,USDT,0.01,0,0,0.01,0,0,TRUMPEUR,SELL,TRUMP,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,RSR,ETH,BUY RSR/USDT,0.01,0.01,0,SELL RSR/ETH,0.01,0.01,0,SELL ETH/USDT,0.00001,0.00001,0,RSRUSDT,BUY,RSR,USDT,0.01,0,0,0.01,0,0,RSRETH,SELL,RSR,ETH,0.01,0,0,0.01,0,0,ETHUSDT,SELL,ETH,USDT,0.00001,0,0,0.00001,0,0
USDT,UNI,ETH,BUY UNI/USDT,0.01,0.01,0,SELL UNI/ETH,0.01,0.01,0,SELL ETH/USDT,0.00001,0.00001,0,UNIUSDT,BUY,UNI,USDT,0.01,0,0,0.01,0,0,UNIETH,SELL,UNI,ETH,0.01,0,0,0.01,0,0,ETHUSDT,SELL,ETH,USDT,0.00001,0,0,0.00001,0,0
USDT,BDX,BTC,BUY BDX/USDT,0.01,0.01,0,SELL BDX/BTC,1,1,0,SELL BTC/USDT,0.00000001,0.00000001,0,BDXUSDT,BUY,BDX,USDT,0.01,0,0,0.01,0,0,BDXBTC,SELL,BDX,BTC,1,0,0,1,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,IP,BTC,BUY IP/USDT,0.01,0.01,0,SELL IP/BTC,0.01,0.01,0,SELL BTC/USDT,0.00000001,0.00000001,0,IPUSDT,BUY,IP,USDT,0.01,0,0,0.01,0,0,IPBTC,SELL,IP,BTC,0.01,0,0,0.01,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,IP,ETH,BUY IP/USDT,0.01,0.01,0,SELL IP/ETH,0.01,0.01,0,SELL ETH/USDT,0.00001,0.00001,0,IPUSDT,BUY,IP,USDT,0.01,0,0,0.01,0,0,IPETH,SELL,IP,ETH,0.01,0,0,0.01,0,0,ETHUSDT,SELL,ETH,USDT,0.00001,0,0,0.00001,0,0
USDT,VINE,BRL,BUY VINE/USDT,0.01,0.01,0,SELL VINE/BRL,0.01,0.01,0,SELL BRL/USDT,0.01,0.01,0,VINEUSDT,BUY,VINE,USDT,0.01,0,0,0.01,0,0,VINEBRL,SELL,VINE,BRL,0.01,0,0,0.01,0,0,BRLUSDT,SELL,BRL,USDT,0.01,0,0,0.01,0,0
