A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,FLR,EUR,BUY FLR/USDT,0.000001,100,0,SELL FLR/EUR,0.000001,100,0,BUY USDT/EUR,0.0001,1,0,FLR-USDT,BUY,FLR,USDT,0.000001,0,0,100,0,0,FLR-EUR,SELL,FLR,EUR,0.000001,0,0,100,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,AGLD,EUR,BUY AGLD/USDT,0.0001,1,0,SELL AGLD/EUR,0.0001,1,0,BUY USDT/EUR,0.0001,1,0,AGLD-USDT,BUY,AGLD,USDT,0.0001,0,0,1,0,0,AGLD-EUR,SELL,AGLD,EUR,0.0001,0,0,1,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ICP,EUR,BUY ICP/USDT,0.001,0.1,0,SELL ICP/EUR,0.001,0.1,0,BUY USDT/EUR,0.0001,1,0,ICP-USDT,BUY,ICP,USDT,0.001,0,0,0.1,0,0,ICP-EUR,SELL,ICP,EUR,0.001,0,0,0.1,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ICP,TRY,BUY ICP/USDT,0.001,0.1,0,SELL ICP/TRY,0.01,0.1,0,BUY USDT/TRY,0.01,1,0,ICP-USDT,BUY,ICP,USDT,0.001,0,0,0.1,0,0,ICP-TRY,SELL,ICP,TRY,0.01,0,0,0.1,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,ALLO,EUR,BUY ALLO/USDT,0.00001,10,0,SELL ALLO/EUR,0.00001,10,0,BUY USDT/EUR,0.0001,1,0,ALLO-USDT,BUY,ALLO,USDT,0.00001,0,0,10,0,0,ALLO-EUR,SELL,ALLO,EUR,0.00001,0,0,10,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ALLO,TRY,BUY ALLO/USDT,0.00001,10,0,SELL ALLO/TRY,0.001,1,0,BUY USDT/TRY,0.01,1,0,ALLO-USDT,BUY,ALLO,USDT,0.00001,0,0,10,0,0,ALLO-TRY,SELL,ALLO,TRY,0.001,0,0,1,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,CFG,TRY,BUY CFG/USDT,0.00001,10,0,SELL CFG/TRY,0.001,1,0,BUY USDT/TRY,0.01,1,0,CFG-USDT,BUY,CFG,USDT,0.00001,0,0,10,0,0,CFG-TRY,SELL,CFG,TRY,0.001,0,0,1,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,CFG,EUR,BUY CFG/USDT,0.00001,10,0,SELL CFG/EUR,0.00001,10,0,BUY USDT/EUR,0.0001,1,0,CFG-USDT,BUY,CFG,USDT,0.00001,0,0,10,0,0,CFG-EUR,SELL,CFG,EUR,0.00001,0,0,10,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,SKL,EUR,BUY SKL/USDT,0.000001,100,0,SELL SKL/EUR,0.000001,100,0,BUY USDT/EUR,0.0001,1,0,SKL-USDT,BUY,SKL,USDT,0.000001,0,0,100,0,0,SKL-EUR,SELL,SKL,EUR,0.000001,0,0,100,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,VELODROME,EUR,BUY VELODROME/USDT,0.00001,10,0,SELL VELODROME/EUR,0.00001,10,0,BUY USDT/EUR,0.0001,1,0,VELODROME-USDT,BUY,VELODROME,USDT,0.00001,0,0,10,0,0,VELODROME-EUR,SELL,VELODROME,EUR,0.00001,0,0,10,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,LUNA,EUR,BUY LUNA/USDT,0.00001,10,0,SELL LUNA/EUR,0.00001,10,0,BUY USDT/EUR,0.0001,1,0,LUNA-USDT,BUY,LUNA,USDT,0.00001,0,0,10,0,0,LUNA-EUR,SELL,LUNA,EUR,0.00001,0,0,10,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,LUNA,TRY,BUY LUNA/USDT,0.00001,10,0,SELL LUNA/TRY,0.001,10,0,BUY USDT/TRY,0.01,1,0,LUNA-USDT,BUY,LUNA,USDT,0.00001,0,0,10,0,0,LUNA-TRY,SELL,LUNA,TRY,0.001,0,0,10,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,OKB,BTC,BUY OKB/USDT,0.01,0.01,0,SELL OKB/BTC,0.0000001,0.01,0,SELL BTC/USDT,0.1,0.00001,0,OKB-USDT,BUY,OKB,USDT,0.01,0,0,0.01,0,0,OKB-BTC,SELL,OKB,BTC,0.0000001,0,0,0.01,0,0,BTC-USDT,SELL,BTC,USDT,0.1,0,0,0.00001,0,0
USDT,SPACE,EUR,BUY SPACE/USDT,0.000001,1000,0,SELL SPACE/EUR,0.000001,1000,0,BUY USDT/EUR,0.0001,1,0,SPACE-USDT,BUY,SPACE,USDT,0.000001,0,0,1000,0,0,SPACE-EUR,SELL,SPACE,EUR,0.000001,0,0,1000,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,SPACE,TRY,BUY SPACE/USDT,0.000001,1000,0,SELL SPACE/TRY,0.0001,100,0,BUY USDT/TRY,0.01,1,0,SPACE-USDT,BUY,SPACE,USDT,0.000001,0,0,1000,0,0,SPACE-TRY,SELL,SPACE,TRY,0.0001,0,0,100,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,NOT,EUR,BUY NOT/USDT,0.0000001,1000,0,SELL NOT/EUR,0.0000001,1000,0,BUY USDT/EUR,0.0001,1,0,NOT-USDT,BUY,NOT,USDT,0.0000001,0,0,1000,0,0,NOT-EUR,SELL,NOT,EUR,0.0000001,0,0,1000,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,AED,BTC,SELL USDT/AED,0.001,0.1,0,BUY BTC/AED,1,0.00001,0,SELL BTC/USDT,0.1,0.00001,0,USDT-AED,SELL,USDT,AED,0.001,0,0,0.1,0,0,BTC-AED,BUY,BTC,AED,1,0,0,0.00001,0,0,BTC-USDT,SELL,BTC,USDT,0.1,0,0,0.00001,0,0
USDT,AED,ETH,SELL USDT/AED,0.001,0.1,0,BUY ETH/AED,0.1,0.0001,0,SELL ETH/USDT,0.01,0.0001,0,USDT-AED,SELL,USDT,AED,0.001,0,0,0.1,0,0,ETH-AED,BUY,ETH,AED,0.1,0,0,0.0001,0,0,ETH-USDT,SELL,ETH,USDT,0.01,0,0,0.0001,0,0
USDT,AED,XRP,SELL USDT/AED,0.001,0.1,0,BUY XRP/AED,0.001,0.1,0,SELL XRP/USDT,0.0001,1,0,USDT-AED,SELL,USDT,AED,0.001,0,0,0.1,0,0,XRP-AED,BUY,XRP,AED,0.001,0,0,0.1,0,0,XRP-USDT,SELL,XRP,USDT,0.0001,0,0,1,0,0
USDT,AED,SOL,SELL USDT/AED,0.001,0.1,0,BUY SOL/AED,0.1,0.01,0,SELL SOL/USDT,0.01,0.01,0,USDT-AED,SELL,USDT,AED,0.001,0,0,0.1,0,0,SOL-AED,BUY,SOL,AED,0.1,0,0,0.01,0,0,SOL-USDT,SELL,SOL,USDT,0.01,0,0,0.01,0,0
USDT,PROVE,EUR,BUY PROVE/USDT,0.0001,1,0,SELL PROVE/EUR,0.0001,1,0,BUY USDT/EUR,0.0001,1,0,PROVE-USDT,BUY,PROVE,USDT,0.0001,0,0,1,0,0,PROVE-EUR,SELL,PROVE,EUR,0.0001,0,0,1,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,DYDX,EUR,BUY DYDX/USDT,0.00001,10,0,SELL DYDX/EUR,0.00001,10,0,BUY USDT/EUR,0.0001,1,0,DYDX-USDT,BUY,DYDX,USDT,0.00001,0,0,10,0,0,DYDX-EUR,SELL,DYDX,EUR,0.00001,0,0,10,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ROBO,TRY,BUY ROBO/USDT,0.00001,100,0,SELL ROBO/TRY,0.001,10,0,BUY USDT/TRY,0.01,1,0,ROBO-USDT,BUY,ROBO,USDT,0.00001,0,0,100,0,0,ROBO-TRY,SELL,ROBO,TRY,0.001,0,0,10,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,ROBO,EUR,BUY ROBO/USDT,0.00001,100,0,SELL ROBO/EUR,0.00001,100,0,BUY USDT/EUR,0.0001,1,0,ROBO-USDT,BUY,ROBO,USDT,0.00001,0,0,100,0,0,ROBO-EUR,SELL,ROBO,EUR,0.00001,0,0,100,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ZAMA,TRY,BUY ZAMA/USDT,0.00001,100,0,SELL ZAMA/TRY,0.0001,10,0,BUY USDT/TRY,0.01,1,0,ZAMA-USDT,BUY,ZAMA,USDT,0.00001,0,0,100,0,0,ZAMA-TRY,SELL,ZAMA,TRY,0.0001,0,0,10,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,ZAMA,EUR,BUY ZAMA/USDT,0.00001,100,0,SELL ZAMA/EUR,0.00001,100,0,BUY USDT/EUR,0.0001,1,0,ZAMA-USDT,BUY,ZAMA,USDT,0.00001,0,0,100,0,0,ZAMA-EUR,SELL,ZAMA,EUR,0.00001,0,0,100,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,PNUT,EUR,BUY PNUT/USDT,0.00001,10,0,SELL PNUT/EUR,0.00001,10,0,BUY USDT/EUR,0.0001,1,0,PNUT-USDT,BUY,PNUT,USDT,0.00001,0,0,10,0,0,PNUT-EUR,SELL,PNUT,EUR,0.00001,0,0,10,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,PNUT,TRY,BUY PNUT/USDT,0.00001,10,0,SELL PNUT/TRY,0.001,10,0,BUY USDT/TRY,0.01,1,0,PNUT-USDT,BUY,PNUT,USDT,0.00001,0,0,10,0,0,PNUT-TRY,SELL,PNUT,TRY,0.001,0,0,10,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,SATS,EUR,BUY SATS/USDT,0.00000000001,10000000,0,SELL SATS/EUR,0.00000000001,10000000,0,BUY USDT/EUR,0.0001,1,0,SATS-USDT,BUY,SATS,USDT,0.00000000001,0,0,10000000,0,0,SATS-EUR,SELL,SATS,EUR,0.00000000001,0,0,10000000,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,SSV,EUR,BUY SSV/USDT,0.001,0.1,0,SELL SSV/EUR,0.001,0.1,0,BUY USDT/EUR,0.0001,1,0,SSV-USDT,BUY,SSV,USDT,0.001,0,0,0.1,0,0,SSV-EUR,SELL,SSV,EUR,0.001,0,0,0.1,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ATH,TRY,BUY ATH/USDT,0.000001,100,0,SELL ATH/TRY,0.0001,100,0,BUY USDT/TRY,0.01,1,0,ATH-USDT,BUY,ATH,USDT,0.000001,0,0,100,0,0,ATH-TRY,SELL,ATH,TRY,0.0001,0,0,100,0,0,USDT-TRY,BUY,USDT,TRY,0.01,0,0,1,0,0
USDT,ATH,EUR,BUY ATH/USDT,0.000001,100,0,SELL ATH/EUR,0.000001,100,0,BUY USDT/EUR,0.0001,1,0,ATH-USDT,BUY,ATH,USDT,0.000001,0,0,100,0,0,ATH-EUR,SELL,ATH,EUR,0.000001,0,0,100,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,NMR,EUR,BUY NMR/USDT,0.001,0.1,0,SELL NMR/EUR,0.001,0.1,0,BUY USDT/EUR,0.0001,1,0,NMR-USDT,BUY,NMR,USDT,0.001,0,0,0.1,0,0,NMR-EUR,SELL,NMR,EUR,0.001,0,0,0.1,0,0,USDT-EUR,BUY,USDT,EUR,0.0001,0,0,1,0,0
USDT,ETH,STETH,BUY ETH/USDT,0.01,0.0001,0,BUY STETH/ETH,0.0001,0.001,0,SELL STETH/USDT,0.01,0.001,0,ETH-USDT,BUY,ETH,USDT,0.01,0,0,0.0001,0,0,STETH-ETH,BUY,STETH,ETH,0.0001,0,0,0.001,0,0,STETH-USDT,SELL,STETH,USDT,0.01,0,0,0.001,0,0
