A,B,C,leg1,leg2,leg3,baseMin1,quoteMin1,baseInc1,quoteInc1,priceInc1,baseMin2,quoteMin2,baseInc2,quoteInc2,priceInc2,baseMin3,quoteMin3,baseInc3,quoteInc3,priceInc3
USDT,BTC,XLM,BUY BTC/USDT,BUY XLM/BTC,SELL XLM/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.00001,0.0001,0.000000001,0.000000001,1,0.1,0.01,0.0001,0.0001
USDT,BTC,RUNE,BUY BTC/USDT,BUY RUNE/BTC,SELL RUNE/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,CKB,BUY BTC/USDT,BUY CKB/BTC,SELL CKB/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.0001,0.00000000001,0.00000000001,10,0.1,0.0001,0.000001,0.000001
USDT,BTC,ETH,BUY BTC/USDT,BUY ETH/BTC,SELL ETH/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.0001,0.00001,0.0000001,0.00001,0.00001,0.0001,0.01,0.0000001,0.000001,0.01
USDT,BTC,TRVL,BUY BTC/USDT,BUY TRVL/BTC,SELL TRVL/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,1,0.0000000001,0.0000000001,1,0.1,1,0.000001,0.000001
USDT,BTC,WAN,BUY BTC/USDT,BUY WAN/BTC,SELL WAN/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.00001,0.0001,0.000000001,0.000000001,0.1,0.00000001,0.0001,0.00001,0.00001
USDT,BTC,ICP,BUY BTC/USDT,BUY ICP/BTC,SELL ICP/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.000001,0.0001,0.00000001,0.00000001,0.001,0.1,0.0001,0.001,0.001
USDT,BTC,NKN,BUY BTC/USDT,BUY NKN/BTC,SELL NKN/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.1,0.0000000001,0.0000000001,10,0.1,0.1,0.00001,0.00001
USDT,BTC,XDC,BUY BTC/USDT,BUY XDC/BTC,SELL XDC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,GAS,BUY BTC/USDT,BUY GAS/BTC,SELL GAS/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,BNB,BUY BTC/USDT,BUY BNB/BTC,SELL BNB/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.000001,0.0001,0.0000001,0.0000001,0.001,0.1,0.0001,0.001,0.001
USDT,BTC,PERP,BUY BTC/USDT,BUY PERP/BTC,SELL PERP/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.00001,0.0001,0.000000001,0.000000001,0.01,0.1,0.0001,0.0001,0.0001
USDT,BTC,ELA,BUY BTC/USDT,BUY ELA/BTC,SELL ELA/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,KRL,BUY BTC/USDT,BUY KRL/BTC,SELL KRL/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.00001,0.0001,0.0000000001,0.0000000001,10,1,0.0001,0.00001,0.00001
USDT,BTC,XTZ,BUY BTC/USDT,BUY XTZ/BTC,SELL XTZ/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.01,0.0001,0.0001
USDT,BTC,KCS,BUY BTC/USDT,BUY KCS/BTC,SELL KCS/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.0000001,0.0000001,0.1,0.1,0.0001,0.0001,0.001
