A,B,C,leg1,leg2,leg3
USDT,ETH,BTC,ETH-USDT_INV,ETH-BTC,BTC-USDT
USDT,ETH,STETH,ETH-USDT_INV,STETH-ETH_INV,STETH-USDT
USDT,ETH,AUD,ETH-USDT_INV,ETH-AUD,USDT-AUD_INV
USDT,ETH,BRL,ETH-USDT_INV,ETH-BRL,USDT-BRL_INV
USDT,ETH,EUR,ETH-USDT_INV,ETH-EUR,USDT-EUR_INV
USDT,ETH,BETH,ETH-USDT_INV,BETH-ETH_INV,BETH-USDT
USDT,ETH,AED,ETH-USDT_INV,ETH-AED,USDT-AED_INV
USDT,ETH,TRY,ETH-USDT_INV,ETH-TRY,USDT-TRY_INV
USDT,AAVE,EUR,AAVE-USDT_INV,AAVE-EUR,USDT-EUR_INV
USDT,BAT,EUR,BAT-USDT_INV,BAT-EUR,USDT-EUR_INV
USDT,BETH,ETH,BETH-USDT_INV,BETH-ETH,ETH-USDT
USDT,TRY,PI,USDT-TRY,PI-TRY_INV,PI-USDT
USDT,TRY,TRUMP,USDT-TRY,TRUMP-TRY_INV,TRUMP-USDT
USDT,TRY,BTC,USDT-TRY,BTC-TRY_INV,BTC-USDT
USDT,TRY,ETH,USDT-TRY,ETH-TRY_INV,ETH-USDT
USDT,TRY,SOL,USDT-TRY,SOL-TRY_INV,SOL-USDT
USDT,TRY,XRP,USDT-TRY,XRP-TRY_INV,XRP-USDT
USDT,ADA,EUR,ADA-USDT_INV,ADA-EUR,USDT-EUR_INV
USDT,PEPE,BRL,PEPE-USDT_INV,PEPE-BRL,USDT-BRL_INV
USDT,YGG,EUR,YGG-USDT_INV,YGG-EUR,USDT-EUR_INV
USDT,APT,EUR,APT-USDT_INV,APT-EUR,USDT-EUR_INV
USDT,AED,BTC,USDT-AED,BTC-AED_INV,BTC-USDT
USDT,AED,ETH,USDT-AED,ETH-AED_INV,ETH-USDT
USDT,AED,SOL,USDT-AED,SOL-AED_INV,SOL-USDT
USDT,AED,XRP,USDT-AED,XRP-AED_INV,XRP-USDT
USDT,SOL,OKSOL,SOL-USDT_INV,OKSOL-SOL_INV,OKSOL-USDT
USDT,SOL,AUD,SOL-USDT_INV,SOL-AUD,USDT-AUD_INV
USDT,SOL,AED,SOL-USDT_INV,SOL-AED,USDT-AED_INV
USDT,SOL,EUR,SOL-USDT_INV,SOL-EUR,USDT-EUR_INV
USDT,SOL,TRY,SOL-USDT_INV,SOL-TRY,USDT-TRY_INV
USDT,SOL,BRL,SOL-USDT_INV,SOL-BRL,USDT-BRL_INV
USDT,SOL,BTC,SOL-USDT_INV,SOL-BTC,BTC-USDT
USDT,LINK,EUR,LINK-USDT_INV,LINK-EUR,USDT-EUR_INV
USDT,OP,EUR,OP-USDT_INV,OP-EUR,USDT-EUR_INV
USDT,TON,EUR,TON-USDT_INV,TON-EUR,USDT-EUR_INV
USDT,INJ,EUR,INJ-USDT_INV,INJ-EUR,USDT-EUR_INV
USDT,HYPE,EUR,HYPE-USDT_INV,HYPE-EUR,USDT-EUR_INV
USDT,ICP,EUR,ICP-USDT_INV,ICP-EUR,USDT-EUR_INV
USDT,APE,EUR,APE-USDT_INV,APE-EUR,USDT-EUR_INV
USDT,WOO,EUR,WOO-USDT_INV,WOO-EUR,USDT-EUR_INV
USDT,CRV,EUR,CRV-USDT_INV,CRV-EUR,USDT-EUR_INV
USDT,SHIB,EUR,SHIB-USDT_INV,SHIB-EUR,USDT-EUR_INV
USDT,DYDX,EUR,DYDX-USDT_INV,DYDX-EUR,USDT-EUR_INV
USDT,ASTR,EUR,ASTR-USDT_INV,ASTR-EUR,USDT-EUR_INV
USDT,ARB,EUR,ARB-USDT_INV,ARB-EUR,USDT-EUR_INV
USDT,FLOW,EUR,FLOW-USDT_INV,FLOW-EUR,USDT-EUR_INV
USDT,ALGO,EUR,ALGO-USDT_INV,ALGO-EUR,USDT-EUR_INV
USDT,LTC,EUR,LTC-USDT_INV,LTC-EUR,USDT-EUR_INV
USDT,UNI,EUR,UNI-USDT_INV,UNI-EUR,USDT-EUR_INV
USDT,SUSHI,EUR,SUSHI-USDT_INV,SUSHI-EUR,USDT-EUR_INV
USDT,1INCH,EUR,1INCH-USDT_INV,1INCH-EUR,USDT-EUR_INV
USDT,AXS,EUR,AXS-USDT_INV,AXS-EUR,USDT-EUR_INV
USDT,DOT,EUR,DOT-USDT_INV,DOT-EUR,USDT-EUR_INV
USDT,MANA,EUR,MANA-USDT_INV,MANA-EUR,USDT-EUR_INV
USDT,XTZ,EUR,XTZ-USDT_INV,XTZ-EUR,USDT-EUR_INV
USDT,CHZ,EUR,CHZ-USDT_INV,CHZ-EUR,USDT-EUR_INV
USDT,JTO,EUR,JTO-USDT_INV,JTO-EUR,USDT-EUR_INV
USDT,PI,BRL,PI-USDT_INV,PI-BRL,USDT-BRL_INV
USDT,PI,EUR,PI-USDT_INV,PI-EUR,USDT-EUR_INV
USDT,PI,TRY,PI-USDT_INV,PI-TRY,USDT-TRY_INV
USDT,WIF,EUR,WIF-USDT_INV,WIF-EUR,USDT-EUR_INV
USDT,BRL1,BRL,BRL1-USDT_INV,BRL1-BRL,USDT-BRL_INV
USDT,FET,EUR,FET-USDT_INV,FET-EUR,USDT-EUR_INV
USDT,MINA,EUR,MINA-USDT_INV,MINA-EUR,USDT-EUR_INV
