base1,quote1,base2,quote2,base3,quote3
1INCH,EUR,USDT,EUR,1INCH,USDT
1INCH,USD,USDT,USD,1INCH,USDT
2Z,USD,USDT,USD,2Z,USDT
A,USD,USDT,USD,A,USDT
AAVE,EUR,USDT,EUR,AAVE,USDT
AAVE,USD,USDT,USD,AAVE,USDT
ACE,USD,USDT,USD,ACE,USDT
ACH,USD,USDT,USD,ACH,USDT
ADA,EUR,USDT,EUR,ADA,USDT
ADA,EUR,USDC,EUR,ADA,USDC
ADA,USD,USDT,USD,ADA,USDT
ADA,USDC,USDC,USDT,ADA,USDT
USDT,AED,XRP,USDT,XRP,AED
BTC,AED,BTC,USDT,USDT,AED
BTC,AED,ETH,BTC,ETH,AED
BTC,AED,SOL,BTC,SOL,AED
ETH,AED,ETH,USDT,USDT,AED
SOL,AED,SOL,USDT,USDT,AED
AERGO,USD,USDT,USD,AERGO,USDT
AEVO,USD,USDT,USD,AEVO,USDT
AGLD,USD,USDT,USD,AGLD,USDT
AIXBT,USD,USDT,USD,AIXBT,USDT
ALGO,EUR,USDT,EUR,ALGO,USDT
ALGO,USD,USDT,USD,ALGO,USDT
ALLO,USD,USDT,USD,ALLO,USDT
ANIME,USD,USDT,USD,ANIME,USDT
APE,EUR,USDT,EUR,APE,USDT
APE,USD,USDT,USD,APE,USDT
API3,USD,USDT,USD,API3,USDT
APT,EUR,USDT,EUR,APT,USDT
APT,EUR,USDC,EUR,APT,USDC
APT,USD,USDT,USD,APT,USDT
APT,USDC,USDC,USDT,APT,USDT
AR,USD,USDT,USD,AR,USDT
ARB,EUR,USDT,EUR,ARB,USDT
ARB,USD,USDT,USD,ARB,USDT
ARG,USD,USDT,USD,ARG,USDT
ARKM,USD,USDT,USD,ARKM,USDT
ASP,USD,USDT,USD,ASP,USDT
ASTER,USD,USDT,USD,ASTER,USDT
ASTR,EUR,USDT,EUR,ASTR,USDT
ASTR,USD,USDT,USD,ASTR,USDT
ATH,USD,USDT,USD,ATH,USDT
ATOM,USD,USDT,USD,ATOM,USDT
ATOM,EUR,USDT,EUR,ATOM,USDT
AUCTION,USD,USDT,USD,AUCTION,USDT
TRUMP,AUD,TRUMP,USDT,USDT,AUD
USDT,AUD,XRP,USDT,XRP,AUD
USDC,AUD,XRP,USDC,XRP,AUD
USDC,AUD,USDC,USDT,USDT,AUD
BTC,AUD,BTC,USDT,USDT,AUD
BTC,AUD,BTC,USDC,USDC,AUD
BTC,AUD,ETH,BTC,ETH,AUD
BTC,AUD,SOL,BTC,SOL,AUD
ETH,AUD,ETH,USDT,USDT,AUD
ETH,AUD,ETH,USDC,USDC,AUD
SOL,AUD,SOL,USDT,USDT,AUD
SOL,AUD,SOL,USDC,USDC,AUD
AVAX,USD,USDT,USD,AVAX,USDT
AVAX,USDC,USDC,USDT,AVAX,USDT
AVAX,EUR,USDT,EUR,AVAX,USDT
AVAX,EUR,USDC,EUR,AVAX,USDC
AVNT,USD,USDT,USD,AVNT,USDT
AXS,EUR,USDT,EUR,AXS,USDT
AXS,USD,USDT,USD,AXS,USDT
BABY,USD,USDT,USD,BABY,USDT
BABYDOGE,USD,USDT,USD,BABYDOGE,USDT
BANANA,USD,USDT,USD,BANANA,USDT
BAND,USD,USDT,USD,BAND,USDT
BARD,USD,USDT,USD,BARD,USDT
BAT,EUR,USDT,EUR,BAT,USDT
BAT,USD,USDT,USD,BAT,USDT
BCH,USD,USDT,USD,BCH,USDT
BCH,USDC,USDC,USDT,BCH,USDT
BERA,USD,USDT,USD,BERA,USDT
BETH,ETH,ETH,USDT,BETH,USDT
BICO,USD,USDT,USD,BICO,USDT
BIGTIME,USD,USDT,USD,BIGTIME,USDT
BIO,USD,USDT,USD,BIO,USDT
BLUR,USD,USDT,USD,BLUR,USDT
BNB,EUR,USDT,EUR,BNB,USDT
