A,B,C,leg1,leg2,leg3,baseMin1,quoteMin1,baseInc1,quoteInc1,priceInc1,baseMin2,quoteMin2,baseInc2,quoteInc2,priceInc2,baseMin3,quoteMin3,baseInc3,quoteInc3,priceInc3
USDT,ETH,DAG,BUY ETH/USDT,BUY DAG/ETH,SELL DAG/USDT,0.0001,0.01,0.0000001,0.000001,0.01,10,0.0001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.000001,0.000001
USDT,DAG,ETH,BUY DAG/USDT,BUY ETH/DAG,SELL ETH/USDT,10,0.0001,0.0001,0.00000001,0.00000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,MOVR,BUY ETH/USDT,BUY MOVR/ETH,SELL MOVR/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.0001,0.0001,0.000001,0.000001,0.01,0.1,0.0001,0.0001,0.0001
USDT,MOVR,ETH,BUY MOVR/USDT,BUY ETH/MOVR,SELL ETH/USDT,0.01,0.0001,0.0001,0.000001,0.000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,KCS,BUY ETH/USDT,BUY KCS/ETH,SELL KCS/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.0001,0.0001,0.000001,0.000001,0.1,0.1,0.0001,0.0001,0.001
USDT,KCS,ETH,BUY KCS/USDT,BUY ETH/KCS,SELL ETH/USDT,0.01,0.0001,0.0001,0.000001,0.000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,CSPR,BUY ETH/USDT,BUY CSPR/ETH,SELL CSPR/USDT,0.0001,0.01,0.0000001,0.000001,0.01,10,0.00001,0.0001,0.000000001,0.000000001,100,0.1,1,0.000001,0.000001
USDT,CSPR,ETH,BUY CSPR/USDT,BUY ETH/CSPR,SELL ETH/USDT,10,0.00001,0.0001,0.000000001,0.000000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,IOTX,BUY ETH/USDT,BUY IOTX/ETH,SELL IOTX/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.00001,0.00001
USDT,IOTX,ETH,BUY IOTX/USDT,BUY ETH/IOTX,SELL ETH/USDT,1,0.0001,0.0001,0.000000001,0.000000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,DGB,BUY ETH/USDT,BUY DGB/ETH,SELL DGB/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.000001,0.000001
USDT,DGB,ETH,BUY DGB/USDT,BUY ETH/DGB,SELL ETH/USDT,1,0.0001,0.0001,0.000000001,0.000000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,KNC,BUY ETH/USDT,BUY KNC/ETH,SELL KNC/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.1,0.0001,0.0001,0.0000001,0.0000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,KNC,ETH,BUY KNC/USDT,BUY ETH/KNC,SELL ETH/USDT,0.1,0.0001,0.0001,0.0000001,0.0000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,LTC,BUY ETH/USDT,BUY LTC/ETH,SELL LTC/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.001,0.0001,0.001,0.00001,0.00001,0.001,0.1,0.001,0.01,0.01
USDT,LTC,ETH,BUY LTC/USDT,BUY ETH/LTC,SELL ETH/USDT,0.001,0.0001,0.001,0.00001,0.00001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,VET,BUY ETH/USDT,BUY VET/ETH,SELL VET/USDT,0.0001,0.01,0.0000001,0.000001,0.01,10,0.0001,0.0001,0.0000001,0.00000001,10,0.1,0.1,0.00001,0.00001
USDT,VET,ETH,BUY VET/USDT,BUY ETH/VET,SELL ETH/USDT,10,0.0001,0.0001,0.0000001,0.00000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,ZIL,BUY ETH/USDT,BUY ZIL/ETH,SELL ZIL/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.000000001,0.000000001,100,0.1,1,0.000001,0.000001
USDT,ZIL,ETH,BUY ZIL/USDT,BUY ETH/ZIL,SELL ETH/USDT,1,0.0001,0.0001,0.000000001,0.000000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,ALGO,BUY ETH/USDT,BUY ALGO/ETH,SELL ALGO/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.00001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.0001,0.0001
USDT,ALGO,ETH,BUY ALGO/USDT,BUY ETH/ALGO,SELL ETH/USDT,0.01,0.00001,0.0001,0.00000001,0.00000001,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,ETH,ENJ,BUY ETH/USDT,BUY ENJ/ETH,SELL ENJ/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.1,0.0001,0.0001,0.00000001,0.00000001,10,0.1,0.1,0.00001,0.00001
