base1,quote1,base2,quote2,base3,quote3
A,BTC,BTC,USDT,A,USDT
A,BTC,BTC,USDC,A,USDC
A,BTC,ETH,BTC,A,ETH
A,ETH,ETH,USDT,A,USDT
A,ETH,ETH,USDC,A,USDC
A,USDC,USDT,USDC,A,USDT
AAVE,BTC,BTC,USDT,AAVE,USDT
ADA,USD1,USD1,USDT,ADA,USDT
ADA,BTC,BTC,USDT,ADA,USDT
ADA,BTC,BTC,USDC,ADA,USDC
ADA,BTC,KCS,BTC,ADA,KCS
ADA,BTC,BTC,USD1,ADA,USD1
ADA,USDC,USDT,USDC,ADA,USDT
ADA,KCS,KCS,USDT,ADA,USDT
ADA,KCS,KCS,USDC,ADA,USDC
ADX,USDC,USDT,USDC,ADX,USDT
ALGO,BTC,ETH,BTC,ALGO,ETH
ALGO,BTC,BTC,USDT,ALGO,USDT
ALGO,BTC,BTC,USDC,ALGO,USDC
ALGO,ETH,ETH,USDT,ALGO,USDT
ALGO,ETH,ETH,USDC,ALGO,USDC
ALGO,USDC,USDT,USDC,ALGO,USDT
AMPL,BTC,BTC,USDT,AMPL,USDT
ANKR,BTC,BTC,USDT,ANKR,USDT
APE,USDC,USDT,USDC,APE,USDT
AR,BTC,BTC,USDT,AR,USDT
ASTR,BTC,BTC,USDT,ASTR,USDT
ATOM,BTC,BTC,USDT,ATOM,USDT
ATOM,BTC,BTC,USDC,ATOM,USDC
ATOM,BTC,ETH,BTC,ATOM,ETH
ATOM,ETH,ETH,USDT,ATOM,USDT
ATOM,ETH,ETH,USDC,ATOM,USDC
ATOM,USDC,USDT,USDC,ATOM,USDT
AVA,BTC,BTC,USDT,AVA,USDT
AVA,BTC,ETH,BTC,AVA,ETH
AVA,ETH,ETH,USDT,AVA,USDT
AVAX,BTC,BTC,USDC,AVAX,USDC
AVAX,BTC,BTC,USDT,AVAX,USDT
AVAX,USDC,USDT,USDC,AVAX,USDT
BAX,ETH,ETH,USDT,BAX,USDT
BAX,BTC,BTC,USDT,BAX,USDT
BAX,BTC,ETH,BTC,BAX,ETH
BCH,BTC,BTC,USDC,BCH,USDC
BCH,BTC,BTC,USDT,BCH,USDT
BCH,USDC,USDT,USDC,BCH,USDT
BCHSV,BTC,BTC,USDT,BCHSV,USDT
BCHSV,BTC,ETH,BTC,BCHSV,ETH
BCHSV,BTC,BTC,USDC,BCHSV,USDC
BCHSV,ETH,ETH,USDT,BCHSV,USDT
BCHSV,ETH,ETH,USDC,BCHSV,USDC
BCHSV,USDC,USDT,USDC,BCHSV,USDT
BDX,BTC,BTC,USDT,BDX,USDT
BNB,BTC,BTC,USDC,BNB,USDC
BNB,BTC,BTC,USDT,BNB,USDT
BNB,BTC,KCS,BTC,BNB,KCS
BNB,KCS,KCS,USDT,BNB,USDT
BNB,KCS,KCS,USDC,BNB,USDC
BNB,USDC,USDT,USDC,BNB,USDT
BTC,BRL,ETH,BTC,ETH,BRL
BTC,BRL,BTC,USDT,USDT,BRL
ETH,BRL,ETH,USDT,USDT,BRL
FET,BTC,FET,USDC,BTC,USDC
FET,BTC,FET,USDT,BTC,USDT
HBAR,BTC,HBAR,USDC,BTC,USDC
HBAR,BTC,HBAR,USDT,BTC,USDT
PERP,BTC,PERP,USDT,BTC,USDT
KRL,BTC,KRL,USDT,BTC,USDT
ERG,BTC,ERG,USDT,BTC,USDT
BTC,EUR,USDC,EUR,BTC,USDC
BTC,EUR,USDT,EUR,BTC,USDT
TRX,BTC,WIN,TRX,WIN,BTC
TRX,BTC,TRX,USDT,BTC,USDT
TRX,BTC,TRX,USDC,BTC,USDC
COTI,BTC,COTI,USDT,BTC,USDT
RUNE,BTC,RUNE,USDT,BTC,USDT
RUNE,BTC,RUNE,USDC,BTC,USDC
DAG,BTC,DAG,USDT,BTC,USDT
DAG,BTC,DAG,ETH,ETH,BTC
BTC,USD1,USD1,USDT,BTC,USDT
BTC,USD1,XRP,USD1,XRP,BTC
TEL,BTC,TEL,USDT,BTC,USDT
TEL,BTC,TEL,USDC,BTC,USDC
INJ,BTC,INJ,USDC,BTC,USDC
INJ,BTC,INJ,USDT,BTC,USDT
DASH,BTC,DASH,USDT,BTC,USDT
DASH,BTC,DASH,ETH,ETH,BTC
DGB,BTC,DGB,USDT,BTC,USDT
DGB,BTC,DGB,ETH,ETH,BTC
NEAR,BTC,NEAR,USDT,BTC,USDT
NEAR,BTC,NEAR,USDC,BTC,USDC
RSR,BTC,RSR,USDT,BTC,USDT
TRAC,BTC,TRAC,USDT,BTC,USDT
KNC,BTC,KNC,USDT,BTC,USDT
BTC,DAI,USDT,DAI,BTC,USDT
BTC,DAI,ETH,DAI,ETH,BTC
CHZ,BTC,CHZ,USDT,BTC,USDT
RLC,BTC,RLC,USDT,BTC,USDT
ETC,BTC,ETC,USDC,BTC,USDC
ETC,BTC,ETC,USDT,BTC,USDT
ETC,BTC,ETC,ETH,ETH,BTC
BTC,USDG,USDG,USDT,BTC,USDT
BTC,USDC,VRA,USDC,VRA,BTC
BTC,USDC,XLM,USDC,XLM,BTC
BTC,USDC,XMR,USDC,XMR,BTC
BTC,USDC,USDT,USDC,BTC,USDT
BTC,USDC,XRP,USDC,XRP,BTC
DOGE,BTC,DOGE,USD1,BTC,USD1
DOGE,BTC,DOGE,USDC,BTC,USDC
DOGE,BTC,DOGE,KCS,KCS,BTC
DOGE,BTC,DOGE,USDT,BTC,USDT
SNX,BTC,SNX,USDT,BTC,USDT
PAXG,BTC,PAXG,USDT,BTC,USDT
NKN,BTC,NKN,USDT,BTC,USDT
SCRT,BTC,SCRT,USDT,BTC,USDT
EWT,BTC,EWT,USDT,BTC,USDT
KAS,BTC,KAS,USDC,BTC,USDC
KAS,BTC,KAS,USDT,BTC,USDT
STX,BTC,STX,USDT,BTC,USDT
OGN,BTC,OGN,USDT,BTC,USDT
IOTX,BTC,IOTX,USDT,BTC,USDT
ELA,BTC,ELA,USDT,BTC,USDT
TRVL,BTC,TRVL,USDT,BTC,USDT
KLV,BTC,KLV,USDT,BTC,USDT
KLV,BTC,KLV,TRX,TRX,BTC
REQ,BTC,REQ,USDT,BTC,USDT
NEO,BTC,NEO,USDT,BTC,USDT
SKL,BTC,SKL,USDT,BTC,USDT
SUPER,BTC,SUPER,USDT,BTC,USDT
KCS,BTC,KCS,USDT,BTC,USDT
KCS,BTC,XRP,KCS,XRP,BTC
KCS,BTC,LTC,KCS,LTC,BTC
KCS,BTC,KCS,USDC,BTC,USDC
ICP,BTC,ICP,USDT,BTC,USDT
IOTA,BTC,IOTA,USDT,BTC,USDT
CFX,BTC,CFX,USDT,BTC,USDT
