A,B,C,leg1,leg2,leg3
BDX,USDT,BTC,BDXUSDT,BTCUSDT_INV,BDXBTC_INV
BDX,BTC,USDT,BDXBTC,BTCUSDT,BDXUSDT_INV
ZORA,USDT,USDC,ZORAUSDT,USDCUSDT_INV,ZORAUSDC_INV
ZORA,USDC,USDT,ZORAUSDC,USDCUSDT,ZORAUSDT_INV
VELODROME,USDT,USDC,VELODROMEUSDT,USDCUSDT_INV,VELODROMEUSDC_INV
VELODROME,USDC,USDT,VELODROMEUSDC,USDCUSDT,VELODROMEUSDT_INV
IO,USDT,USDC,IOUSDT,USDCUSDT_INV,IOUSDC_INV
IO,USDC,USDT,IOUSDC,USDCUSDT,IOUSDT_INV
NAKA,USDT,USDC,NAKAUSDT,USDCUSDT_INV,NAKAUSDC_INV
NAKA,USDC,USDT,NAKAUSDC,USDCUSDT,NAKAUSDT_INV
BMT,USDC,USDT,BMTUSDC,USDCUSDT,BMTUSDT_INV
BMT,USDT,USDC,BMTUSDT,USDCUSDT_INV,BMTUSDC_INV
ANIME,USDT,USDC,ANIMEUSDT,USDCUSDT_INV,ANIMEUSDC_INV
ANIME,USDC,USDT,ANIMEUSDC,USDCUSDT,ANIMEUSDT_INV
OMI,USDC,USDT,OMIUSDC,USDCUSDT,OMIUSDT_INV
OMI,USDT,USDC,OMIUSDT,USDCUSDT_INV,OMIUSDC_INV
WET,USDC,USDT,WETUSDC,USDCUSDT,WETUSDT_INV
WET,USDT,USDC,WETUSDT,USDCUSDT_INV,WETUSDC_INV
SKL,USDT,USDC,SKLUSDT,USDCUSDT_INV,SKLUSDC_INV
SKL,USDC,USDT,SKLUSDC,USDCUSDT,SKLUSDT_INV
COMP,USDT,USDC,COMPUSDT,USDCUSDT_INV,COMPUSDC_INV
COMP,USDC,USDT,COMPUSDC,USDCUSDT,COMPUSDT_INV
SOL,USDE,USDT,SOLUSDE,USDEUSDT,SOLUSDT_INV
SOL,USD1,USDT,SOLUSD1,USD1USDT,SOLUSDT_INV
SOL,BTC,USDT,SOLBTC,BTCUSDT,SOLUSDT_INV
SOL,EUR,USDT,SOLEUR,EURUSDT,SOLUSDT_INV
SOL,USDT,BTC,SOLUSDT,BTCUSDT_INV,SOLBTC_INV
SOL,USDT,BRL,SOLUSDT,BRLUSDT_INV,SOLBRL_INV
SOL,USDT,USDE,SOLUSDT,USDEUSDT_INV,SOLUSDE_INV
SOL,USDT,EUR,SOLUSDT,EURUSDT_INV,SOLEUR_INV
SOL,USDT,USD1,SOLUSDT,USD1USDT_INV,SOLUSD1_INV
SOL,BRL,USDT,SOLBRL,BRLUSDT,SOLUSDT_INV
