A,B,C,leg1,leg2,leg3
USDT,DASH,BTC,DASHUSDT_INV,DASHBTC,BTCUSDT
USDT,SHIB,EUR,SHIBUSDT_INV,SHIBEUR,EURUSDT
USDT,CRV,ETH,CRVUSDT_INV,CRVETH,ETHUSDT
USDT,PEPE,EUR,PEPEUSDT_INV,PEPEEUR,EURUSDT
USDT,PEPE,USDE,PEPEUSDT_INV,PEPEUSDE,USDEUSDT
USDT,ETC,BTC,ETCUSDT_INV,ETCBTC,BTCUSDT
USDT,ANKR,BTC,ANKRUSDT_INV,ANKRBTC,BTCUSDT
USDT,ETH,RSR,ETHUSDT_INV,RSRETH_INV,RSRUSDT
USDT,ETH,EUR,ETHUSDT_INV,ETHEUR,EURUSDT
USDT,ETH,AR,ETHUSDT_INV,ARETH_INV,ARUSDT
USDT,ETH,NMR,ETHUSDT_INV,NMRETH_INV,NMRUSDT
USDT,ETH,BTC,ETHUSDT_INV,ETHBTC,BTCUSDT
USDT,ETH,IP,ETHUSDT_INV,IPETH_INV,IPUSDT
USDT,ETH,OXT,ETHUSDT_INV,OXTETH_INV,OXTUSDT
USDT,ETH,MX,ETHUSDT_INV,MXETH_INV,MXUSDT
USDT,ETH,SNX,ETHUSDT_INV,SNXETH_INV,SNXUSDT
USDT,ETH,XRP,ETHUSDT_INV,XRPETH_INV,XRPUSDT
USDT,ETH,UNI,ETHUSDT_INV,UNIETH_INV,UNIUSDT
USDT,ETH,LINK,ETHUSDT_INV,LINKETH_INV,LINKUSDT
USDT,ETH,USDF,ETHUSDT_INV,ETHUSDF,USDFUSDT
USDT,ETH,USDE,ETHUSDT_INV,ETHUSDE,USDEUSDT
USDT,ETH,CRV,ETHUSDT_INV,CRVETH_INV,CRVUSDT
USDT,ETH,BRL,ETHUSDT_INV,ETHBRL,BRLUSDT
USDT,AVAX,EUR,AVAXUSDT_INV,AVAXEUR,EURUSDT
USDT,ULTIMA,EUR,ULTIMAUSDT_INV,ULTIMAEUR,EURUSDT
USDT,ULTIMA,USDE,ULTIMAUSDT_INV,ULTIMAUSDE,USDEUSDT
USDT,ATOM,BTC,ATOMUSDT_INV,ATOMBTC,BTCUSDT
USDT,TRUMP,EUR,TRUMPUSDT_INV,TRUMPEUR,EURUSDT
USDT,TON,EUR,TONUSDT_INV,TONEUR,EURUSDT
USDT,BDX,BTC,BDXUSDT_INV,BDXBTC,BTCUSDT
USDT,ADA,EUR,ADAUSDT_INV,ADAEUR,EURUSDT
USDT,USDE,ENA,USDEUSDT_INV,ENAUSDE_INV,ENAUSDT
USDT,USDE,TRX,USDEUSDT_INV,TRXUSDE_INV,TRXUSDT
USDT,USDE,BTC,USDEUSDT_INV,BTCUSDE_INV,BTCUSDT
USDT,USDE,ULTIMA,USDEUSDT_INV,ULTIMAUSDE_INV,ULTIMAUSDT
USDT,USDE,PI,USDEUSDT_INV,PIUSDE_INV,PIUSDT
USDT,USDE,KAS,USDEUSDT_INV,KASUSDE_INV,KASUSDT
USDT,USDE,ETHFI,USDEUSDT_INV,ETHFIUSDE_INV,ETHFIUSDT
USDT,USDE,XRP,USDEUSDT_INV,XRPUSDE_INV,XRPUSDT
USDT,USDE,SUI,USDEUSDT_INV,SUIUSDE_INV,SUIUSDT
USDT,USDE,SOL,USDEUSDT_INV,SOLUSDE_INV,SOLUSDT
USDT,USDE,PEPE,USDEUSDT_INV,PEPEUSDE_INV,PEPEUSDT
USDT,USDE,ETH,USDEUSDT_INV,ETHUSDE_INV,ETHUSDT
USDT,USDE,DOGE,USDEUSDT_INV,DOGEUSDE_INV,DOGEUSDT
USDT,PI,USDE,PIUSDT_INV,PIUSDE,USDEUSDT
USDT,PI,EUR,PIUSDT_INV,PIEUR,EURUSDT
USDT,BRL,VINE,BRLUSDT_INV,VINEBRL_INV,VINEUSDT
USDT,BRL,XRP,BRLUSDT_INV,XRPBRL_INV,XRPUSDT
USDT,BRL,SOL,BRLUSDT_INV,SOLBRL_INV,SOLUSDT
USDT,BRL,ETH,BRLUSDT_INV,ETHBRL_INV,ETHUSDT
USDT,BRL,MX,BRLUSDT_INV,MXBRL_INV,MXUSDT
USDT,BRL,BTC,BRLUSDT_INV,BTCBRL_INV,BTCUSDT
USDT,TRX,USDE,TRXUSDT_INV,TRXUSDE,USDEUSDT
USDT,TRX,BTC,TRXUSDT_INV,TRXBTC,BTCUSDT
USDT,BTC,MX,BTCUSDT_INV,MXBTC_INV,MXUSDT
USDT,BTC,BRL,BTCUSDT_INV,BTCBRL,BRLUSDT
USDT,BTC,A,BTCUSDT_INV,ABTC_INV,AUSDT
USDT,BTC,BDX,BTCUSDT_INV,BDXBTC_INV,BDXUSDT
USDT,BTC,XRP,BTCUSDT_INV,XRPBTC_INV,XRPUSDT
USDT,BTC,TRX,BTCUSDT_INV,TRXBTC_INV,TRXUSDT
USDT,BTC,NEO,BTCUSDT_INV,NEOBTC_INV,NEOUSDT
USDT,BTC,ONT,BTCUSDT_INV,ONTBTC_INV,ONTUSDT
USDT,BTC,IP,BTCUSDT_INV,IPBTC_INV,IPUSDT
USDT,BTC,EUR,BTCUSDT_INV,BTCEUR,EURUSDT
USDT,BTC,BCH,BTCUSDT_INV,BCHBTC_INV,BCHUSDT
USDT,BTC,SOL,BTCUSDT_INV,SOLBTC_INV,SOLUSDT
USDT,BTC,ANKR,BTCUSDT_INV,ANKRBTC_INV,ANKRUSDT
USDT,BTC,ATOM,BTCUSDT_INV,ATOMBTC_INV,ATOMUSDT
USDT,BTC,XLM,BTCUSDT_INV,XLMBTC_INV,XLMUSDT
USDT,BTC,DASH,BTCUSDT_INV,DASHBTC_INV,DASHUSDT
USDT,BTC,OMG,BTCUSDT_INV,OMGBTC_INV,OMGUSDT
USDT,BTC,QTUM,BTCUSDT_INV,QTUMBTC_INV,QTUMUSDT
USDT,BTC,DOT,BTCUSDT_INV,DOTBTC_INV,DOTUSDT
USDT,BTC,ETH,BTCUSDT_INV,ETHBTC_INV,ETHUSDT
USDT,BTC,USDE,BTCUSDT_INV,BTCUSDE,USDEUSDT
USDT,BTC,DEXE,BTCUSDT_INV,DEXEBTC_INV,DEXEUSDT
USDT,BTC,WBTC,BTCUSDT_INV,WBTCBTC_INV,WBTCUSDT
USDT,BTC,USDF,BTCUSDT_INV,BTCUSDF,USDFUSDT
USDT,BTC,ETC,BTCUSDT_INV,ETCBTC_INV,ETCUSDT
USDT,VINE,BRL,VINEUSDT_INV,VINEBRL,BRLUSDT
USDT,MELANIA,EUR,MELANIAUSDT_INV,MELANIAEUR,EURUSDT
USDT,NEO,BTC,NEOUSDT_INV,NEOBTC,BTCUSDT
USDT,TAO,EUR,TAOUSDT_INV,TAOEUR,EURUSDT
USDT,USDF,ETH,USDFUSDT_INV,ETHUSDF_INV,ETHUSDT
USDT,USDF,BTC,USDFUSDT_INV,BTCUSDF_INV,BTCUSDT
USDT,USDF,FF,USDFUSDT_INV,FFUSDF_INV,FFUSDT
USDT,AR,ETH,ARUSDT_INV,ARETH,ETHUSDT
USDT,EUR,PI,EURUSDT_INV,PIEUR_INV,PIUSDT
USDT,EUR,ULTIMA,EURUSDT_INV,ULTIMAEUR_INV,ULTIMAUSDT
USDT,EUR,BTC,EURUSDT_INV,BTCEUR_INV,BTCUSDT
USDT,EUR,MX,EURUSDT_INV,MXEUR_INV,MXUSDT
USDT,EUR,XRP,EURUSDT_INV,XRPEUR_INV,XRPUSDT
USDT,EUR,RIO,EURUSDT_INV,RIOEUR_INV,RIOUSDT
USDT,EUR,ETH,EURUSDT_INV,ETHEUR_INV,ETHUSDT
USDT,EUR,TON,EURUSDT_INV,TONEUR_INV,TONUSDT
USDT,EUR,MELANIA,EURUSDT_INV,MELANIAEUR_INV,MELANIAUSDT
USDT,EUR,PEPE,EURUSDT_INV,PEPEEUR_INV,PEPEUSDT
USDT,EUR,ADA,EURUSDT_INV,ADAEUR_INV,ADAUSDT
USDT,EUR,TAO,EURUSDT_INV,TAOEUR_INV,TAOUSDT
USDT,EUR,KAS,EURUSDT_INV,KASEUR_INV,KASUSDT
USDT,EUR,TRUMP,EURUSDT_INV,TRUMPEUR_INV,TRUMPUSDT
USDT,EUR,WIF,EURUSDT_INV,WIFEUR_INV,WIFUSDT
USDT,EUR,LINK,EURUSDT_INV,LINKEUR_INV,LINKUSDT
USDT,EUR,LTC,EURUSDT_INV,LTCEUR_INV,LTCUSDT
USDT,EUR,SOL,EURUSDT_INV,SOLEUR_INV,SOLUSDT
