A,B,C,PAIR1,PAIR2,PAIR3
NAKA,USDC,USDT,NAKAUSDC,USDCUSDT,NAKAUSDT_INV
NAKA,USDT,USDC,USDCUSDT,NAKAUSDC,NAKAUSDT_INV
TURBO,USDC,USDT,TURBOUSDC,USDCUSDT,TURBOUSDT_INV
TURBO,USDT,USDC,USDCUSDT,TURBOUSDC,TURBOUSDT_INV
HBAR,USDT,USDC,HBARUSDT,USDCUSDT_INV,HBARUSDC_INV
HBAR,USDC,USDT,USDCUSDT_INV,HBARUSDT,HBARUSDC_INV
S,USDC,USDT,SUSDC,USDCUSDT,SUSDT_INV
S,USDT,USDC,USDCUSDT,SUSDC,SUSDT_INV
XMR,USDT,USDC,XMRUSDT,USDCUSDT_INV,XMRUSDC_INV
XMR,USDC,USDT,USDCUSDT_INV,XMRUSDT,XMRUSDC_INV
NPC,USDC,USDT,NPCUSDC,USDCUSDT,NPCUSDT_INV
NPC,USDT,USDC,USDCUSDT,NPCUSDC,NPCUSDT_INV
INJ,USDT,USDC,INJUSDT,USDCUSDT_INV,INJUSDC_INV
INJ,USDC,USDT,USDCUSDT_INV,INJUSDT,INJUSDC_INV
MELANIA,USDT,USDC,MELANIAUSDT,USDCUSDT_INV,MELANIAUSDC_INV
MELANIA,USDC,USDT,USDCUSDT_INV,MELANIAUSDT,MELANIAUSDC_INV
ONDO,USDT,USDC,ONDOUSDT,USDCUSDT_INV,ONDOUSDC_INV
ONDO,USDC,USDT,USDCUSDT_INV,ONDOUSDT,ONDOUSDC_INV
PEPE,USDT,USDC,PEPEUSDT,USDCUSDT_INV,PEPEUSDC_INV
PEPE,USDC,USDT,USDCUSDT_INV,PEPEUSDT,PEPEUSDC_INV
ENA,USDC,USDT,ENAUSDC,USDCUSDT,ENAUSDT_INV
ENA,USDT,USDC,USDCUSDT,ENAUSDC,ENAUSDT_INV
SUI,USDT,USDC,SUIUSDT,USDCUSDT_INV,SUIUSDC_INV
SUI,USDC,USDT,USDCUSDT_INV,SUIUSDT,SUIUSDC_INV
PEPE,USDC,USDT,PEPEUSDC,USDCUSDT,PEPEUSDT_INV
PEPE,USDT,USDC,USDCUSDT,PEPEUSDC,PEPEUSDT_INV
PEPE,USDC,EUR,PEPEUSDC,USDCEUR,PEPEEUR_INV
PEPE,EUR,USDC,USDCEUR,PEPEUSDC,PEPEEUR_INV
TAO,USDT,USDC,TAOUSDT,USDCUSDT_INV,TAOUSDC_INV
TAO,USDC,USDT,USDCUSDT_INV,TAOUSDT,TAOUSDC_INV
TAO,USDC,USDT,TAOUSDC,USDCUSDT,TAOUSDT_INV
TAO,USDT,USDC,USDCUSDT,TAOUSDC,TAOUSDT_INV
TAO,USDC,EUR,TAOUSDC,USDCEUR,TAOEUR_INV
