base1,quote1,base2,quote2,base3,quote3
0G,USDC,USDC,USDT,0G,USDT
1INCH,USDC,USDC,USDT,1INCH,USDT
A,USDC,USDC,USDT,A,USDT
A,BTC,BTC,USDC,A,USDC
A,BTC,BTC,USDT,A,USDT
AAVE,USDC,USDC,USDT,AAVE,USDT
ACH,USDC,USDC,USDT,ACH,USDT
ACT,USDC,USDC,USDT,ACT,USDT
ADA,USDC,USDC,USDT,ADA,USDT
ADA,BTC,BTC,USDC,ADA,USDC
ADA,BTC,BTC,USDT,ADA,USDT
ADA,BTC,BTC,EUR,ADA,EUR
ADA,EUR,EUR,USDC,ADA,USDC
ADA,EUR,EUR,USDT,ADA,USDT
AEVO,USDC,USDC,USDT,AEVO,USDT
AGT,USDC,USDC,USDT,AGT,USDT
AIOT,USDC,USDC,USDT,AIOT,USDT
AIXBT,USDC,USDC,USDT,AIXBT,USDT
ALCH,USDC,USDC,USDT,ALCH,USDT
ALGO,USDC,USDC,USDT,ALGO,USDT
ALLO,USDC,USDC,USDT,ALLO,USDT
ANIME,USDC,USDC,USDT,ANIME,USDT
ANKR,BTC,BTC,USDT,ANKR,USDT
APE,USDC,USDC,USDT,APE,USDT
API3,USDC,USDC,USDT,API3,USDT
APT,USDC,USDC,USDT,APT,USDT
AR,USDC,USDC,USDT,AR,USDT
AR,ETH,ETH,USDC,AR,USDC
AR,ETH,ETH,USDT,AR,USDT
ARB,USDC,USDC,USDT,ARB,USDT
ARKM,USDC,USDC,USDT,ARKM,USDT
ASTER,USDC,USDC,USDT,ASTER,USDT
AT,USDC,USDC,USDT,AT,USDT
ATOM,USDC,USDC,USDT,ATOM,USDT
ATOM,BTC,BTC,USDC,ATOM,USDC
ATOM,BTC,BTC,USDT,ATOM,USDT
AVAX,EUR,EUR,USDC,AVAX,USDC
AVAX,EUR,EUR,USDT,AVAX,USDT
AVAX,USDC,USDC,USDT,AVAX,USDT
AVNT,USDC,USDC,USDT,AVNT,USDT
AXS,USDC,USDC,USDT,AXS,USDT
AZERO,USDC,USDC,USDT,AZERO,USDT
B,USD1,USD1,USDT,B,USDT
BABY,USDC,USDC,USDT,BABY,USDT
BABYDOGE,USDC,USDC,USDT,BABYDOGE,USDT
BANANA,USDC,USDC,USDT,BANANA,USDT
BANANAS31,USDC,USDC,USDT,BANANAS31,USDT
BANK,USD1,USD1,USDT,BANK,USDT
BANK,USDC,USDC,USDT,BANK,USDT
BARD,USDC,USDC,USDT,BARD,USDT
BB,USDC,USDC,USDT,BB,USDT
BCH,BTC,BTC,USDT,BCH,USDT
BCH,BTC,BTC,USDC,BCH,USDC
BCH,USDC,USDC,USDT,BCH,USDT
BDX,BTC,BTC,USDT,BDX,USDT
BEAMX,USDC,USDC,USDT,BEAMX,USDT
BERA,USDC,USDC,USDT,BERA,USDT
BIGTIME,USDC,USDC,USDT,BIGTIME,USDT
BIO,USDC,USDC,USDT,BIO,USDT
BKN,USDC,USDC,USDT,BKN,USDT
BLESS,USDC,USDC,USDT,BLESS,USDT
BLUR,USDC,USDC,USDT,BLUR,USDT
BMT,USDC,USDC,USDT,BMT,USDT
BNB,USDC,USDC,USDT,BNB,USDT
BOB,USDC,USDC,USDT,BOB,USDT
BOME,USDC,USDC,USDT,BOME,USDT
BONK,USDC,USDC,USDT,BONK,USDT
BTC,BRL,BTC,USDC,USDC,BRL
BTC,BRL,XRP,BTC,XRP,BRL
BTC,BRL,SOL,BTC,SOL,BRL
BTC,BRL,ETH,BTC,ETH,BRL
BTC,BRL,BTC,USDT,BRL,USDT
BTC,BRL,MX,BTC,MX,BRL
USDC,BRL,XRP,USDC,XRP,BRL
USDC,BRL,USDC,USDT,BRL,USDT
SOL,BRL,SOL,USDC,USDC,BRL
SOL,BRL,SOL,USDT,BRL,USDT
ETH,BRL,MX,ETH,MX,BRL
ETH,BRL,ETH,USDC,USDC,BRL
ETH,BRL,XRP,ETH,XRP,BRL
ETH,BRL,ETH,USDT,BRL,USDT
BRL,USDT,XRP,USDT,XRP,BRL
BRL,USDT,VINE,USDT,VINE,BRL
MX,BRL,MX,USDC,USDC,BRL
MX,BRL,MX,USDT,BRL,USDT
BROCCOLIF3B,USDC,USDC,USDT,BROCCOLIF3B,USDT
MX,BTC,MX,USDC,BTC,USDC
MX,BTC,MX,USDT,BTC,USDT
BTC,USDC,USDC,USDT,BTC,USDT
BTC,USDC,XLM,USDC,XLM,BTC
