start,mid1,mid2,end
CRV,USDC,USDT,CRV
CRV,USDT,USDC,CRV
CRV,USDC,ETH,CRV
CRV,ETH,USDC,CRV
CRV,USDT,USDC,CRV
CRV,USDC,USDT,CRV
CRV,USDT,ETH,CRV
CRV,ETH,USDT,CRV
CRV,ETH,USDT,CRV
CRV,USDT,ETH,CRV
CRV,ETH,USDC,CRV
CRV,USDC,ETH,CRV
NMR,ETH,USDT,NMR
NMR,USDT,ETH,NMR
NMR,ETH,USDC,NMR
NMR,USDC,ETH,NMR
NMR,USDT,USDC,NMR
NMR,USDC,USDT,NMR
NMR,USDT,ETH,NMR
NMR,ETH,USDT,NMR
NMR,USDC,USDT,NMR
NMR,USDT,USDC,NMR
NMR,USDC,ETH,NMR
NMR,ETH,USDC,NMR
INIT,USDC,USDT,INIT
INIT,USDT,USDC,INIT
INIT,USDT,USDC,INIT
INIT,USDC,USDT,INIT
MAV,USDC,USDT,MAV
MAV,USDT,USDC,MAV
MAV,USDT,USDC,MAV
MAV,USDC,USDT,MAV
NOT,USDC,USDT,NOT
NOT,USDT,USDC,NOT
NOT,USDT,USDC,NOT
NOT,USDC,USDT,NOT
OP,USDC,USDT,OP
OP,USDT,USDC,OP
OP,USDT,USDC,OP
OP,USDC,USDT,OP
ARB,USDC,USDT,ARB
ARB,USDT,USDC,ARB
ARB,USDT,USDC,ARB
ARB,USDC,USDT,ARB
KAS,EUR,USDC,KAS
KAS,USDC,EUR,KAS
KAS,EUR,USDT,KAS
KAS,USDT,EUR,KAS
KAS,USDT,USDC,KAS
KAS,USDC,USDT,KAS
KAS,USDT,EUR,KAS
KAS,EUR,USDT,KAS
KAS,USDT,USD1,KAS
KAS,USD1,USDT,KAS
KAS,USDT,USDE,KAS
KAS,USDE,USDT,KAS
KAS,USDC,USDT,KAS
KAS,USDT,USDC,KAS
KAS,USDC,EUR,KAS
KAS,EUR,USDC,KAS
KAS,USD1,USDT,KAS
KAS,USDT,USD1,KAS
KAS,USDE,USDT,KAS
KAS,USDT,USDE,KAS
HOLO,USDC,USDT,HOLO
HOLO,USDT,USDC,HOLO
HOLO,USDT,USDC,HOLO
HOLO,USDC,USDT,HOLO
HYPER,USDC,USDT,HYPER
HYPER,USDT,USDC,HYPER
HYPER,USDT,USDC,HYPER
HYPER,USDC,USDT,HYPER
IMX,USDC,USDT,IMX
IMX,USDT,USDC,IMX
IMX,USDT,USDC,IMX
IMX,USDC,USDT,IMX
NIL,USDC,USDT,NIL
NIL,USDT,USDC,NIL
NIL,USDT,USDC,NIL
NIL,USDC,USDT,NIL
XMR,USDT,USDC,XMR
XMR,USDC,USDT,XMR
XMR,USDC,USDT,XMR
XMR,USDT,USDC,XMR
ZEC,USDT,USDC,ZEC
ZEC,USDC,USDT,ZEC
ZEC,USDC,USDT,ZEC
ZEC,USDT,USDC,ZEC
IDEX,USDC,USDT,IDEX
IDEX,USDT,USDC,IDEX
IDEX,USDT,USDC,IDEX
IDEX,USDC,USDT,IDEX
MANTA,USDC,USDT,MANTA
MANTA,USDT,USDC,MANTA
MANTA,USDT,USDC,MANTA
MANTA,USDC,USDT,MANTA
PROVE,USDC,USDT,PROVE
PROVE,USDT,USDC,PROVE
PROVE,USDT,USDC,PROVE
PROVE,USDC,USDT,PROVE
ARKM,USDC,USDT,ARKM
