A,B,C,PATH
EUR,TAO,USDC,EUR -> TAO -> USDC -> EUR
EUR,KAS,USDC,EUR -> KAS -> USDC -> EUR
EUR,RIO,USDC,EUR -> RIO -> USDC -> EUR
EUR,PEPE,USDC,EUR -> PEPE -> USDC -> EUR
NIGHT,USDT,USDC,NIGHT -> USDT -> USDC -> NIGHT
AIXBT,USDC,USDT,AIXBT -> USDC -> USDT -> AIXBT
KEKIUS,USDC,USDT,KEKIUS -> USDC -> USDT -> KEKIUS
FET,USDC,USDT,FET -> USDC -> USDT -> FET
FARTCOIN,USDT,USDC,FARTCOIN -> USDT -> USDC -> FARTCOIN
NPC,USDC,USDT,NPC -> USDC -> USDT -> NPC
PEAQ,USDC,USDT,PEAQ -> USDC -> USDT -> PEAQ
TURBO,USDC,USDT,TURBO -> USDC -> USDT -> TURBO
XLM,BTC,USDC,XLM -> BTC -> USDC -> XLM
XLM,USDT,USDC,XLM -> USDT -> USDC -> XLM
S,USDC,USDT,S -> USDC -> USDT -> S
CHZ,USDT,USDC,CHZ -> USDT -> USDC -> CHZ
RIO,USDC,USDT,RIO -> USDC -> USDT -> RIO
MELANIA,USDT,USDC,MELANIA -> USDT -> USDC -> MELANIA
RBNT,USDT,USDC,RBNT -> USDT -> USDC -> RBNT
SUPRA,USDC,USDT,SUPRA -> USDC -> USDT -> SUPRA
ZEN,USDC,USDT,ZEN -> USDC -> USDT -> ZEN
LINGO,USDT,USDC,LINGO -> USDT -> USDC -> LINGO
KAS,USDC,USDT,KAS -> USDC -> USDT -> KAS
HBAR,USDT,USDC,HBAR -> USDT -> USDC -> HBAR
BABYDOGE,USDC,USDT,BABYDOGE -> USDC -> USDT -> BABYDOGE
ONDO,USDT,USDC,ONDO -> USDT -> USDC -> ONDO
USDT,PENGU,USDC,USDT -> PENGU -> USDC -> USDT
USDT,ETHFI,USDC,USDT -> ETHFI -> USDC -> USDT
USDT,PEPE,USDC,USDT -> PEPE -> USDC -> USDT
USDT,XPL,USDC,USDT -> XPL -> USDC -> USDT
USDT,PI,USDC,USDT -> PI -> USDC -> USDT
USDT,ENA,USDC,USDT -> ENA -> USDC -> USDT
USDT,ICP,USDC,USDT -> ICP -> USDC -> USDT
USDT,ULTIMA,USDC,USDT -> ULTIMA -> USDC -> USDT
USDT,NAKA,USDC,USDT -> NAKA -> USDC -> USDT
USDT,DSYNC,USDC,USDT -> DSYNC -> USDC -> USDT
USDT,SUI,USDC,USDT -> SUI -> USDC -> USDT
USDT,XMR,USDC,USDT -> XMR -> USDC -> USDT
USDT,KAITO,USDC,USDT -> KAITO -> USDC -> USDT
USDT,CGPT,USDC,USDT -> CGPT -> USDC -> USDT
USDT,USDC,TRUMP,USDT -> USDC -> TRUMP -> USDT
USDT,USDC,TON,USDT -> USDC -> TON -> USDT
USDT,USDC,LINK,USDT -> USDC -> LINK -> USDT
USDT,USDC,QUBIC,USDT -> USDC -> QUBIC -> USDT
USDT,USDC,INJ,USDT -> USDC -> INJ -> USDT
USDT,USDC,VIRTUAL,USDT -> USDC -> VIRTUAL -> USDT
USDT,USDC,TAO,USDT -> USDC -> TAO -> USDT
